LU code	Description	Assumed Imperviousness	Surface Storage Max	CN 1	CN 2	CN 3	CN 4	Max net infil 1	Max net infil 2	Max net infil 3	Max net infil 4	Interception_Growing	Interception_Nongrowing	RZ 1	RZ 2	RZ 3	RZ 4	Curve Number References	Rooting Depth References	Rooting_depth_ft	Rooting_depth_inches	Fog_catch eff	Max_allowable_depletion	Irrigation_efficiency	Irrigation_code	Application Option	Application Amount	Monthly Application Schedule	Canopy_Storage_Capacity	Trunk_Storage_Capacity	Stemflow_Fraction	Depletion_fraction	Annual_direct_net_infiltration	Storm drain capture fraction	Annual_septic_discharge	Kcb_Jan	Kcb_Feb	Kcb_Mar	Kcb_Apr	Kcb_May	Kcb_Jun	Kcb_Jul	Kcb_Aug	Kcb_Sep	Kcb_Oct	Kcb_Nov	Kcb_Dec	Kcb_ini	Kcb_mid	Kcb_end	Kcb_min	Planting_Date	Mean_Plant_Height	Units_are_Days	GDD_Base_Temperature	GDD_Maximum_Temperature	L_shift	L_ini	L_dev	L_mid	L_late	L_fallow	Irrigation_days	REW 1	REW 2	REW 3	REW 4	TEW 1	TEW 2	TEW 3	TEW 4	Fraction_of_irrigation_from_GW	First_day_of_irrigation	Last_day_of_irrigation	First_day_of_growing_season	Last_day_of_growing_season
1500	Shrubland	**	0	47	67	78	83	99	99	99	99	0.02	0	1	1	1	1			1	12	0.5	1	1	0	none	0	NA	0	0	0	0.5	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	01/01	4	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
1600	Native forest	**	0	28	55	70	76	99	99	99	99	0.05	0	2.5	2.5	2.5	2.5		Engott shapefile	2.5	30	1	1	1	0	none	0	NA	0.05	0.01	0.04	0.5	0	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0	0	0	0	01/01	30	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
1700	Alien forest	**	0	36	60	74	79	99	99	99	99	0.0835	0	5	5	5	5			5	60	1	1	1	0	none	0	NA	0.05	0.01	0.04	0.5	0	0	0	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0	0	0	0	01/01	30	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
1800	Tree plantation	**	0	44	65	77	82	99	99	99	99	0.0625	0	5	5	5	5			5	60	1	1	1	0	none	0	NA	0.05	0.01	0.04	0.5	0	0	0	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0	0	0	0	01/01	20	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
1900	Reservoirs	**	0	100	100	100	100	99	99	99	99	0	0	0.08	0.08	0.08	0.08			0.08	1	0	1	1	0	none	0	NA	0	0	0	1	528	0	0	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	0	0	0	0	01/01	0	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
2000	NA	**	0	100	100	100	100	99	99	99	99	0	0	1.5	1.5	1.5	1.5			1.5	18	0	1	1	0	none	0	NA	0	0	0	0.6	0	0	0	0.85	0.5	0.29	0.4	0.8	1.2	0.85	0.5	0.29	0.4	0.8	1.2	0	0	0	0	01/01	0	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
2100	Native forest fog	**	0	28	55	70	76	99	99	99	99	0.05	0	2.5	2.5	2.5	2.5			2.5	30	1	1	1	0	none	0	NA	0.05	0.01	0.04	0.5	0	0	0	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0	0	0	0	01/01	30	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
2200	Alien forest fog	**	0	36	60	74	79	99	99	99	99	0.0835	0	5	5	5	5			5	60	1	1	1	0	none	0	NA	0.05	0.01	0.04	0.5	0	0	0	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0	0	0	0	01/01	30	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
2300	Tree plantation fog	**	0	44	65	77	82	99	99	99	99	0.0625	0	5	5	5	5			5	60	1	1	1	0	none	0	NA	0.05	0.01	0.04	0.5	0	0	0	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0	0	0	0	01/01	30	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
2400	Golf course	**	0	50	69	80	84	99	99	99	99	0.05	0	2.5	2.5	2.5	2.5			2.5	30	0	0	0.7	2	PE - P demand	0	1111111111111111111111111111111	0	0	0	0.5	0	0	0	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0	0	0	0	01/01	1	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
2500	Taro	**	0	100	100	100	100	99	99	99	99	0	0	3.25	3.25	3.25	3.25			3.25	39	0	0	0.8	0	Constant amount	1.246575342	NA	0	0	0	0.6	455	0	0	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0	0	0	0	01/01	10	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
2600	Sugarcane 1870	**	0	53	71	81	85	99	99	99	99	0.08	0	2	2	2	2	"Cooley, Keith R., and Leonard J. Lane. Modified Runoff Curve Numbers for Sugarcane and Pineapple Fields in Hawaii. Journal of Soil and Water Conservation 37, no. 5 (1982): 295-98."		2	24	0	1	1	5	none	0	NA	0	0	0	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1.25	0.88	0.31	01/01	6	yes	50	86	0	76	107	334	152	61	608	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
2700	Grass_shrub 1870	**	0	37	61	74	79	99	99	99	99	0.03	0	2.13	2.13	2.13	2.13			2.13	26	0.25	1	1	0	none	0	NA	0	0	0	0.55	0	0	0	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0	0	0	0	01/01	4	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
2800	Open Native Forest grass_shrub 1870	**	0	37	61	74	79	99	99	99	99	0.03	0	2.26	2.26	2.26	2.26			2.26	27	1	1	1	0	none	0	NA	0.05	0.01	0.04	0.53	0	0	0	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0	0	0	0	01/01	4	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
2900	Sparse Grassland 1870	**	0	37	61	74	79	99	99	99	99	0.03	0	1.83	1.83	1.83	1.83			1.83	22	0	1	1	0	none	0	NA	0	0	0	0.55	0	0	0	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	1.07	0	0	0	0	01/01	4	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
3000	HC&S reservoirs	**	0	100	100	100	100	99	99	99	99	0	0	0.08	0.08	0.08	0.08			0.08	1	0	1	1	0	none	0	NA	0	0	0	1	1268	0	0	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	0	0	0	0	01/01	0	yes	50	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
4100	Sugarcane (even year)	**	0	53	71	81	85	99	99	99	99	0.08	0	2	2	2	2	"Cooley, Keith R., and Leonard J. Lane. Modified Runoff Curve Numbers for Sugarcane and Pineapple Fields in Hawaii. Journal of Soil and Water Conservation 37, no. 5 (1982): 295-98."		2	24	0	0	0.8	4	PE - P demand	0	1110000111000011100001110001000	0	0	0	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1.25	0.88	0.31	01/01	5	yes	50	86	-365	76	107	334	152	61	608	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
4200	Sugarcane (odd year)	**	0	53	71	81	85	99	99	99	99	0.08	0	2	2	2	2	"Cooley, Keith R., and Leonard J. Lane. Modified Runoff Curve Numbers for Sugarcane and Pineapple Fields in Hawaii. Journal of Soil and Water Conservation 37, no. 5 (1982): 295-98."		2	24	0	0	0.8	4	PE - P demand	0	1110000111000011100001110001000	0	0	0	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1.25	0.88	0.31	01/01	5	yes	50	86	0	76	107	334	152	61	608	0	0	0	0	0	0	0	0	1	01/01	12/31	01/01	12/31
