well,Lat,Lon,x_utm,y_utm,Elev_m,Depth_m,Bottom_MSL,WL_m_MSL,Source
1642-04,-14.275877,-170.706783,531627,8421743,17.1,23.2,-6.1,7.3,Bentley 1975 appendix
1642-03,-14.276277,-170.70625,531684,8421698,13.6,24.4,-10.8,10.5,Bentley 1975 appendix
1642-02,-14.276734,-170.706041,531707,8421648,12.2,27.4,-15.2,8.2,Bentley 1975 appendix
Pago_107,-14.27862,-170.70548,531767,8421439,25.8,85.3,-59.5,20.3,Eyre 1991 and 1993
Pago_105,-14.277783,-170.705284,531788,8421532,23.1,83.8,-60.7,12.4,Eyre 1991 and 1993
PAGO-105,-14.27778,-170.70528,531789,8421532,23.1,83.8,-60.7,16.7,Log_well105_040895.pdf
1642-01,-14.276791,-170.70528,531789,8421641,12.2,61,-48.8,10.7,Bentley 1975 appendix
PAGOTANK-24,-14.26924,-170.70488,531833,8422477,66.1,99.1,-33,1.2,DRILLING SUPPORT Well Log # 24_After going deeper.doc
Pago_plaza_1-2,-14.272504,-170.703302,532003,8422115,2.4,56.4,-54,3,Eyre 1991 and 1993
Fagatogo_102,-14.280229,-170.693879,533018,8421260,43,54.9,-11.9,6.4,Eyre 1991 and 1993
Fagatogo_101,-14.28003,-170.6938,533026,8421282,43.8,54.9,-11.1,6.9,Eyre 1991 and 1993
FALU-179,-14.29103,-170.68893,533550,8420064,23.2,32,-8.8,2.7,DLog_Well179_031308.pdf
1741-01,-14.2898,-170.685104,533963,8420200,11.4,18.3,-6.9,6.1,Bentley 1975 appendix
UTULEI_3,-14.28032,-170.682991,534192,8421248,1.5,0,0,0.1,Eyre 1991 and 1993
VATI-170,-14.25455,-170.66925,535678,8424096,32.3,0,0,8.1,Pump_Well180_082811.pdf
VATI-180,-14.25476,-170.66857,535752,8424073,50.5,0,0,8.2,Pump_Well180_082811.pdf
1639-03,-14.26902,-170.662151,536442,8422495,6.1,3.8,2.3,5.1,Bentley 1975 appendix
Aua_95,-14.269062,-170.66177,536483,8422490,24.4,63.1,-38.7,6.1,Eyre 1991 and 1993
1639-02,-14.269674,-170.661764,536484,8422422,6.1,42.7,-36.6,5.5,Bentley 1975 appendix
AUA_98,-14.268362,-170.661314,536532,8422567,31.3,0,0,4.3,Eyre 1991 and 1993
AUA__97,-14.2687,-170.66118,536547,8422530,25.8,0,0,5.5,Eyre 1991 and 1993
LAU-96,-14.2834,-170.65285,537443,8420903,11,0,0,6,pump_test_96.pdf
Laulii_106,-14.282992,-170.651927,537542,8420948,16.2,113.4,-97.2,7.3,Eyre 1991 and 1993
Sailele_130,-14.257784,-170.596308,543546,8423726,10.7,20.1,-9.4,2.7,Eyre 1991 and 1993
1635-02,-14.273372,-170.588422,544394,8422000,10.7,25.9,-15.2,5.3,Bentley 1975 appendix
1534-01,-14.25284,-170.56952,546437,8424268,9.1,33.5,-24.4,3.1,Bentley 1975 appendix
TULA__108,-14.25173,-170.568548,546542,8424390,5.2,15.2,-10,3,Eyre 1991 and 1993
1633-01,-14.263938,-170.566626,546747,8423040,6.1,5.5,0.6,5.7,Bentley 1975 appendix
0,-14.234591,-170.854765,515668,8426324,,,,0.05,
1,-14.234586,-170.846905,516516,8426324,,,,0.05,
2,-14.234581,-170.839044,517364,8426324,,,,0.05,
3,-14.234575,-170.831184,518212,8426324,,,,0.05,
4,-14.234569,-170.823323,519060,8426324,,,,0.05,
5,-14.234563,-170.815462,519908,8426324,,,,0.05,
6,-14.234557,-170.807602,520756,8426324,,,,0.05,
7,-14.234551,-170.799741,521604,8426324,,,,0.05,
8,-14.234544,-170.791881,522452,8426324,,,,0.05,
9,-14.234537,-170.78402,523300,8426324,,,,0.05,
10,-14.23453,-170.77616,524148,8426324,,,,0.05,
11,-14.234522,-170.768299,524996,8426324,,,,0.05,
12,-14.234515,-170.760439,525844,8426324,,,,0.05,
13,-14.234507,-170.752578,526692,8426324,,,,0.05,
14,-14.234498,-170.744718,527540,8426324,,,,0.05,
15,-14.23449,-170.736858,528388,8426324,,,,0.05,
16,-14.234481,-170.728997,529236,8426324,,,,0.05,
17,-14.234472,-170.721137,530084,8426324,,,,0.05,
18,-14.234463,-170.713276,530932,8426324,,,,0.05,
19,-14.234453,-170.705416,531780,8426324,,,,0.05,
20,-14.234443,-170.697555,532628,8426324,,,,0.05,
21,-14.234433,-170.689695,533476,8426324,,,,0.05,
22,-14.234423,-170.681834,534324,8426324,,,,0.05,
23,-14.234412,-170.673974,535172,8426324,,,,0.05,
24,-14.234401,-170.666113,536020,8426324,,,,0.05,
25,-14.23439,-170.658253,536868,8426324,,,,0.05,
26,-14.234379,-170.650393,537716,8426324,,,,0.05,
27,-14.234367,-170.642532,538564,8426324,,,,0.05,
28,-14.234355,-170.634672,539412,8426324,,,,0.05,
29,-14.234343,-170.626811,540260,8426324,,,,0.05,
30,-14.234331,-170.618951,541108,8426324,,,,0.05,
31,-14.234318,-170.611091,541956,8426324,,,,0.05,
32,-14.234305,-170.60323,542804,8426324,,,,0.05,
33,-14.234292,-170.59537,543652,8426324,,,,0.05,
34,-14.234279,-170.58751,544500,8426324,,,,0.05,
35,-14.234265,-170.579649,545348,8426324,,,,0.05,
36,-14.234251,-170.571789,546196,8426324,,,,0.05,
37,-14.234237,-170.563929,547044,8426324,,,,0.05,
38,-14.234222,-170.556068,547892,8426324,,,,0.05,
39,-14.234208,-170.548208,548740,8426324,,,,0.05,
40,-14.242077,-170.85476,515668,8425496,,,,0.05,
41,-14.242072,-170.8469,516516,8425496,,,,0.05,
42,-14.242067,-170.839039,517364,8425496,,,,0.05,
43,-14.242062,-170.831178,518212,8425496,,,,0.05,
44,-14.242056,-170.823317,519060,8425496,,,,0.05,
45,-14.24205,-170.815456,519908,8425496,,,,0.05,
46,-14.242044,-170.807596,520756,8425496,,,,0.05,
47,-14.242037,-170.799735,521604,8425496,,,,0.05,
48,-14.242031,-170.791874,522452,8425496,,,,0.05,
49,-14.242024,-170.784013,523300,8425496,,,,0.05,
50,-14.242016,-170.776153,524148,8425496,,,,0.05,
51,-14.242009,-170.768292,524996,8425496,,,,0.05,
52,-14.242001,-170.760431,525844,8425496,,,,0.05,
53,-14.241993,-170.75257,526692,8425496,,,,0.05,
54,-14.241985,-170.74471,527540,8425496,,,,0.05,
55,-14.241976,-170.736849,528388,8425496,,,,0.05,
56,-14.241968,-170.728988,529236,8425496,,,,0.05,
57,-14.241959,-170.721127,530084,8425496,,,,0.05,
58,-14.241949,-170.713267,530932,8425496,,,,0.05,
59,-14.24194,-170.705406,531780,8425496,,,,0.05,
60,-14.24193,-170.697545,532628,8425496,,,,0.05,
61,-14.24192,-170.689685,533476,8425496,,,,0.05,
62,-14.241909,-170.681824,534324,8425496,,,,0.05,
63,-14.241888,-170.666102,536020,8425496,,,,0.05,
64,-14.241877,-170.658242,536868,8425496,,,,0.05,
65,-14.241865,-170.650381,537716,8425496,,,,0.05,
66,-14.241854,-170.64252,538564,8425496,,,,0.05,
67,-14.241842,-170.63466,539412,8425496,,,,0.05,
68,-14.24183,-170.626799,540260,8425496,,,,0.05,
69,-14.241817,-170.618939,541108,8425496,,,,0.05,
70,-14.241805,-170.611078,541956,8425496,,,,0.05,
71,-14.241792,-170.603217,542804,8425496,,,,0.05,
72,-14.241779,-170.595357,543652,8425496,,,,0.05,
73,-14.241765,-170.587496,544500,8425496,,,,0.05,
74,-14.241751,-170.579635,545348,8425496,,,,0.05,
75,-14.241737,-170.571775,546196,8425496,,,,0.05,
76,-14.241723,-170.563914,547044,8425496,,,,0.05,
77,-14.241709,-170.556054,547892,8425496,,,,0.05,
78,-14.241694,-170.548193,548740,8425496,,,,0.05,
79,-14.249564,-170.854756,515668,8424668,,,,0.05,
80,-14.249559,-170.846895,516516,8424668,,,,0.05,
81,-14.249554,-170.839033,517364,8424668,,,,0.05,
82,-14.249548,-170.831172,518212,8424668,,,,0.05,
83,-14.249543,-170.823311,519060,8424668,,,,0.05,
84,-14.249537,-170.81545,519908,8424668,,,,0.05,
85,-14.24953,-170.807589,520756,8424668,,,,0.05,
86,-14.249524,-170.799728,521604,8424668,,,,0.05,
87,-14.249517,-170.791867,522452,8424668,,,,0.05,
88,-14.24951,-170.784006,523300,8424668,,,,0.05,
89,-14.249503,-170.776145,524148,8424668,,,,0.05,
90,-14.249496,-170.768284,524996,8424668,,,,0.05,
91,-14.249488,-170.760423,525844,8424668,,,,0.05,
92,-14.24948,-170.752562,526692,8424668,,,,0.05,
93,-14.249471,-170.744701,527540,8424668,,,,0.05,
94,-14.249463,-170.73684,528388,8424668,,,,0.05,
95,-14.249454,-170.728979,529236,8424668,,,,0.05,
96,-14.249445,-170.721118,530084,8424668,,,,0.05,
97,-14.249436,-170.713257,530932,8424668,,,,0.05,
98,-14.249426,-170.705396,531780,8424668,,,,0.05,
99,-14.249416,-170.697535,532628,8424668,,,,0.05,
100,-14.249385,-170.673952,535172,8424668,,,,0.05,
101,-14.249363,-170.658231,536868,8424668,,,,0.05,
102,-14.249352,-170.65037,537716,8424668,,,,0.05,
103,-14.24934,-170.642509,538564,8424668,,,,0.05,
104,-14.249304,-170.618926,541108,8424668,,,,0.05,
105,-14.249291,-170.611065,541956,8424668,,,,0.05,
106,-14.249278,-170.603204,542804,8424668,,,,0.05,
107,-14.249265,-170.595343,543652,8424668,,,,0.05,
108,-14.249251,-170.587482,544500,8424668,,,,0.05,
109,-14.249195,-170.556039,547892,8424668,,,,0.05,
110,-14.24918,-170.548178,548740,8424668,,,,0.05,
111,-14.25705,-170.854751,515668,8423840,,,,0.05,
112,-14.257045,-170.846889,516516,8423840,,,,0.05,
113,-14.25704,-170.839028,517364,8423840,,,,0.05,
114,-14.257035,-170.831167,518212,8423840,,,,0.05,
115,-14.257029,-170.823306,519060,8423840,,,,0.05,
116,-14.257023,-170.815444,519908,8423840,,,,0.05,
117,-14.257017,-170.807583,520756,8423840,,,,0.05,
118,-14.257011,-170.799722,521604,8423840,,,,0.05,
119,-14.257004,-170.79186,522452,8423840,,,,0.05,
120,-14.256997,-170.783999,523300,8423840,,,,0.05,
121,-14.25699,-170.776138,524148,8423840,,,,0.05,
122,-14.256982,-170.768277,524996,8423840,,,,0.05,
123,-14.256974,-170.760415,525844,8423840,,,,0.05,
124,-14.256966,-170.752554,526692,8423840,,,,0.05,
125,-14.256958,-170.744693,527540,8423840,,,,0.05,
126,-14.256949,-170.736831,528388,8423840,,,,0.05,
127,-14.256941,-170.72897,529236,8423840,,,,0.05,
128,-14.256932,-170.721109,530084,8423840,,,,0.05,
129,-14.256922,-170.713248,530932,8423840,,,,0.05,
130,-14.256913,-170.705387,531780,8423840,,,,0.05,
131,-14.256803,-170.626775,540260,8423840,,,,0.05,
132,-14.256738,-170.587469,544500,8423840,,,,0.05,
133,-14.256681,-170.556024,547892,8423840,,,,0.05,
134,-14.256667,-170.548163,548740,8423840,,,,0.05,
135,-14.264537,-170.854746,515668,8423012,,,,0.05,
136,-14.264532,-170.846884,516516,8423012,,,,0.05,
137,-14.264527,-170.839023,517364,8423012,,,,0.05,
138,-14.264521,-170.831161,518212,8423012,,,,0.05,
139,-14.264516,-170.8233,519060,8423012,,,,0.05,
140,-14.26451,-170.815438,519908,8423012,,,,0.05,
141,-14.264504,-170.807577,520756,8423012,,,,0.05,
142,-14.264497,-170.799715,521604,8423012,,,,0.05,
143,-14.26449,-170.791854,522452,8423012,,,,0.05,
144,-14.264483,-170.783992,523300,8423012,,,,0.05,
145,-14.264476,-170.77613,524148,8423012,,,,0.05,
146,-14.264469,-170.768269,524996,8423012,,,,0.05,
147,-14.264461,-170.760407,525844,8423012,,,,0.05,
148,-14.264453,-170.752546,526692,8423012,,,,0.05,
149,-14.264445,-170.744684,527540,8423012,,,,0.05,
150,-14.264436,-170.736823,528388,8423012,,,,0.05,
151,-14.264427,-170.728961,529236,8423012,,,,0.05,
152,-14.264418,-170.7211,530084,8423012,,,,0.05,
153,-14.264168,-170.55601,547892,8423012,,,,0.05,
154,-14.264153,-170.548148,548740,8423012,,,,0.05,
155,-14.272024,-170.854741,515668,8422184,,,,0.05,
156,-14.272019,-170.846879,516516,8422184,,,,0.05,
157,-14.272013,-170.839018,517364,8422184,,,,0.05,
158,-14.272008,-170.831156,518212,8422184,,,,0.05,
159,-14.272002,-170.823294,519060,8422184,,,,0.05,
160,-14.271996,-170.815432,519908,8422184,,,,0.05,
161,-14.27199,-170.80757,520756,8422184,,,,0.05,
162,-14.271984,-170.799708,521604,8422184,,,,0.05,
163,-14.271977,-170.791847,522452,8422184,,,,0.05,
164,-14.27197,-170.783985,523300,8422184,,,,0.05,
165,-14.271963,-170.776123,524148,8422184,,,,0.05,
166,-14.271955,-170.768261,524996,8422184,,,,0.05,
167,-14.271947,-170.760399,525844,8422184,,,,0.05,
168,-14.271939,-170.752538,526692,8422184,,,,0.05,
169,-14.271931,-170.744676,527540,8422184,,,,0.05,
170,-14.271923,-170.736814,528388,8422184,,,,0.05,
171,-14.271914,-170.728952,529236,8422184,,,,0.05,
172,-14.271855,-170.681782,534324,8422184,,,,0.05,
173,-14.271845,-170.67392,535172,8422184,,,,0.05,
174,-14.271834,-170.666058,536020,8422184,,,,0.05,
175,-14.27175,-170.611027,541956,8422184,,,,0.05,
176,-14.271669,-170.563857,547044,8422184,,,,0.05,
177,-14.271654,-170.555995,547892,8422184,,,,0.05,
178,-14.271639,-170.548133,548740,8422184,,,,0.05,
179,-14.27951,-170.854736,515668,8421356,,,,0.05,
180,-14.279505,-170.846874,516516,8421356,,,,0.05,
181,-14.2795,-170.839012,517364,8421356,,,,0.05,
182,-14.279495,-170.83115,518212,8421356,,,,0.05,
183,-14.279489,-170.823288,519060,8421356,,,,0.05,
184,-14.279483,-170.815426,519908,8421356,,,,0.05,
185,-14.279477,-170.807564,520756,8421356,,,,0.05,
186,-14.27947,-170.799702,521604,8421356,,,,0.05,
187,-14.279464,-170.79184,522452,8421356,,,,0.05,
188,-14.279457,-170.783978,523300,8421356,,,,0.05,
189,-14.279449,-170.776116,524148,8421356,,,,0.05,
190,-14.279442,-170.768254,524996,8421356,,,,0.05,
191,-14.279434,-170.760392,525844,8421356,,,,0.05,
192,-14.279426,-170.752529,526692,8421356,,,,0.05,
193,-14.279418,-170.744667,527540,8421356,,,,0.05,
194,-14.279409,-170.736805,528388,8421356,,,,0.05,
195,-14.2794,-170.728943,529236,8421356,,,,0.05,
196,-14.279331,-170.673909,535172,8421356,,,,0.05,
197,-14.27932,-170.666047,536020,8421356,,,,0.05,
198,-14.279262,-170.626738,540260,8421356,,,,0.05,
199,-14.27925,-170.618876,541108,8421356,,,,0.05,
200,-14.279237,-170.611014,541956,8421356,,,,0.05,
201,-14.279197,-170.587428,544500,8421356,,,,0.05,
202,-14.279183,-170.579566,545348,8421356,,,,0.05,
203,-14.279169,-170.571704,546196,8421356,,,,0.05,
204,-14.279155,-170.563842,547044,8421356,,,,0.05,
205,-14.279141,-170.55598,547892,8421356,,,,0.05,
206,-14.279126,-170.548119,548740,8421356,,,,0.05,
207,-14.286997,-170.854732,515668,8420528,,,,0.05,
208,-14.286992,-170.846869,516516,8420528,,,,0.05,
209,-14.286987,-170.839007,517364,8420528,,,,0.05,
210,-14.286981,-170.831145,518212,8420528,,,,0.05,
211,-14.286975,-170.823282,519060,8420528,,,,0.05,
212,-14.28697,-170.81542,519908,8420528,,,,0.05,
213,-14.286963,-170.807558,520756,8420528,,,,0.05,
214,-14.286957,-170.799695,521604,8420528,,,,0.05,
215,-14.28695,-170.791833,522452,8420528,,,,0.05,
216,-14.286936,-170.776108,524148,8420528,,,,0.05,
217,-14.286928,-170.768246,524996,8420528,,,,0.05,
218,-14.28692,-170.760384,525844,8420528,,,,0.05,
219,-14.286912,-170.752521,526692,8420528,,,,0.05,
220,-14.286904,-170.744659,527540,8420528,,,,0.05,
221,-14.286818,-170.673899,535172,8420528,,,,0.05,
222,-14.286807,-170.666036,536020,8420528,,,,0.05,
223,-14.286761,-170.634587,539412,8420528,,,,0.05,
224,-14.286748,-170.626725,540260,8420528,,,,0.05,
225,-14.286736,-170.618863,541108,8420528,,,,0.05,
226,-14.286723,-170.611001,541956,8420528,,,,0.05,
227,-14.28671,-170.603139,542804,8420528,,,,0.05,
228,-14.286697,-170.595276,543652,8420528,,,,0.05,
229,-14.286684,-170.587414,544500,8420528,,,,0.05,
230,-14.28667,-170.579552,545348,8420528,,,,0.05,
231,-14.286656,-170.57169,546196,8420528,,,,0.05,
232,-14.286642,-170.563828,547044,8420528,,,,0.05,
233,-14.286627,-170.555966,547892,8420528,,,,0.05,
234,-14.286612,-170.548104,548740,8420528,,,,0.05,
235,-14.294483,-170.854727,515668,8419700,,,,0.05,
236,-14.294478,-170.846864,516516,8419700,,,,0.05,
237,-14.294473,-170.839002,517364,8419700,,,,0.05,
238,-14.294468,-170.831139,518212,8419700,,,,0.05,
239,-14.294462,-170.823276,519060,8419700,,,,0.05,
240,-14.294456,-170.815414,519908,8419700,,,,0.05,
241,-14.294399,-170.752513,526692,8419700,,,,0.05,
242,-14.294304,-170.673888,535172,8419700,,,,0.05,
243,-14.294293,-170.666025,536020,8419700,,,,0.05,
244,-14.294282,-170.658163,536868,8419700,,,,0.05,
245,-14.294271,-170.6503,537716,8419700,,,,0.05,
246,-14.294259,-170.642438,538564,8419700,,,,0.05,
247,-14.294247,-170.634575,539412,8419700,,,,0.05,
248,-14.294235,-170.626713,540260,8419700,,,,0.05,
249,-14.294222,-170.61885,541108,8419700,,,,0.05,
250,-14.29421,-170.610988,541956,8419700,,,,0.05,
251,-14.294197,-170.603126,542804,8419700,,,,0.05,
252,-14.294183,-170.595263,543652,8419700,,,,0.05,
253,-14.29417,-170.587401,544500,8419700,,,,0.05,
254,-14.294156,-170.579538,545348,8419700,,,,0.05,
255,-14.294142,-170.571676,546196,8419700,,,,0.05,
256,-14.294128,-170.563813,547044,8419700,,,,0.05,
257,-14.294113,-170.555951,547892,8419700,,,,0.05,
258,-14.294099,-170.548089,548740,8419700,,,,0.05,
259,-14.30197,-170.854722,515668,8418872,,,,0.05,
260,-14.301965,-170.846859,516516,8418872,,,,0.05,
261,-14.30196,-170.838996,517364,8418872,,,,0.05,
262,-14.301954,-170.831133,518212,8418872,,,,0.05,
263,-14.301801,-170.68174,534324,8418872,,,,0.05,
264,-14.301791,-170.673877,535172,8418872,,,,0.05,
265,-14.30178,-170.666014,536020,8418872,,,,0.05,
266,-14.301769,-170.658151,536868,8418872,,,,0.05,
267,-14.301757,-170.650289,537716,8418872,,,,0.05,
268,-14.301745,-170.642426,538564,8418872,,,,0.05,
269,-14.301734,-170.634563,539412,8418872,,,,0.05,
270,-14.301721,-170.626701,540260,8418872,,,,0.05,
271,-14.301709,-170.618838,541108,8418872,,,,0.05,
272,-14.301696,-170.610975,541956,8418872,,,,0.05,
273,-14.301683,-170.603112,542804,8418872,,,,0.05,
274,-14.30167,-170.59525,543652,8418872,,,,0.05,
275,-14.301656,-170.587387,544500,8418872,,,,0.05,
276,-14.301643,-170.579524,545348,8418872,,,,0.05,
277,-14.301629,-170.571662,546196,8418872,,,,0.05,
278,-14.301614,-170.563799,547044,8418872,,,,0.05,
279,-14.3016,-170.555936,547892,8418872,,,,0.05,
280,-14.301585,-170.548074,548740,8418872,,,,0.05,
281,-14.309456,-170.854717,515668,8418044,,,,0.05,
282,-14.309451,-170.846854,516516,8418044,,,,0.05,
283,-14.309446,-170.838991,517364,8418044,,,,0.05,
284,-14.309298,-170.689592,533476,8418044,,,,0.05,
285,-14.309288,-170.681729,534324,8418044,,,,0.05,
286,-14.309277,-170.673866,535172,8418044,,,,0.05,
287,-14.309266,-170.666003,536020,8418044,,,,0.05,
288,-14.309255,-170.65814,536868,8418044,,,,0.05,
289,-14.309244,-170.650277,537716,8418044,,,,0.05,
290,-14.309232,-170.642414,538564,8418044,,,,0.05,
291,-14.30922,-170.634551,539412,8418044,,,,0.05,
292,-14.309208,-170.626688,540260,8418044,,,,0.05,
293,-14.309195,-170.618825,541108,8418044,,,,0.05,
294,-14.309183,-170.610962,541956,8418044,,,,0.05,
295,-14.30917,-170.603099,542804,8418044,,,,0.05,
296,-14.309156,-170.595236,543652,8418044,,,,0.05,
297,-14.309143,-170.587373,544500,8418044,,,,0.05,
298,-14.309129,-170.57951,545348,8418044,,,,0.05,
299,-14.309115,-170.571647,546196,8418044,,,,0.05,
300,-14.309101,-170.563785,547044,8418044,,,,0.05,
301,-14.309086,-170.555922,547892,8418044,,,,0.05,
302,-14.309071,-170.548059,548740,8418044,,,,0.05,
303,-14.316943,-170.854712,515668,8417216,,,,0.05,
304,-14.316938,-170.846849,516516,8417216,,,,0.05,
305,-14.316933,-170.838986,517364,8417216,,,,0.05,
306,-14.316805,-170.705309,531780,8417216,,,,0.05,
307,-14.316795,-170.697445,532628,8417216,,,,0.05,
308,-14.316785,-170.689582,533476,8417216,,,,0.05,
309,-14.316774,-170.681719,534324,8417216,,,,0.05,
310,-14.316764,-170.673855,535172,8417216,,,,0.05,
311,-14.316753,-170.665992,536020,8417216,,,,0.05,
312,-14.316741,-170.658129,536868,8417216,,,,0.05,
313,-14.31673,-170.650266,537716,8417216,,,,0.05,
314,-14.316718,-170.642402,538564,8417216,,,,0.05,
315,-14.316706,-170.634539,539412,8417216,,,,0.05,
316,-14.316694,-170.626676,540260,8417216,,,,0.05,
317,-14.316682,-170.618813,541108,8417216,,,,0.05,
318,-14.316669,-170.610949,541956,8417216,,,,0.05,
319,-14.316656,-170.603086,542804,8417216,,,,0.05,
320,-14.316643,-170.595223,543652,8417216,,,,0.05,
321,-14.316629,-170.58736,544500,8417216,,,,0.05,
322,-14.316615,-170.579496,545348,8417216,,,,0.05,
323,-14.316601,-170.571633,546196,8417216,,,,0.05,
324,-14.316587,-170.56377,547044,8417216,,,,0.05,
325,-14.316572,-170.555907,547892,8417216,,,,0.05,
326,-14.316558,-170.548044,548740,8417216,,,,0.05,
327,-14.32443,-170.854708,515668,8416388,,,,0.05,
328,-14.324425,-170.846844,516516,8416388,,,,0.05,
329,-14.324291,-170.705299,531780,8416388,,,,0.05,
330,-14.324281,-170.697435,532628,8416388,,,,0.05,
331,-14.324271,-170.689572,533476,8416388,,,,0.05,
