Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,End Of File
04/04/16,00:45:00,14.6696,79.326,,,,
04/04/16,01:00:00,14.6598,79.326,,,,
04/04/16,01:15:00,14.6593,79.151,,,,
04/04/16,01:30:00,14.6519,79.151,,,,
04/04/16,01:45:00,14.6465,78.975,,,,
04/04/16,02:00:00,14.6465,78.975,,,,
04/04/16,02:15:00,14.6391,78.975,,,,
04/04/16,02:30:00,14.6391,78.975,,,,
04/04/16,02:45:00,14.6318,78.975,,,,
04/04/16,03:00:00,14.6343,78.975,,,,
04/04/16,03:15:00,14.6366,78.975,,,,
04/04/16,03:30:00,14.6391,78.975,,,,
04/04/16,03:45:00,14.6391,78.975,,,,
04/04/16,04:00:00,14.6366,78.975,,,,
04/04/16,04:15:00,14.6416,78.975,,,,
04/04/16,04:30:00,14.6465,78.975,,,,
04/04/16,04:45:00,14.6416,78.975,,,,
04/04/16,05:00:00,14.6568,79.151,,,,
04/04/16,05:15:00,14.6788,79.151,,,,
04/04/16,05:30:00,14.6640,79.151,,,,
04/04/16,05:45:00,14.6611,78.975,,,,
04/04/16,06:00:00,14.6587,78.975,,,,
04/04/16,06:15:00,14.6581,78.800,,,,
04/04/16,06:30:00,14.6581,78.800,,,,
04/04/16,06:45:00,14.6630,78.800,,,,
04/04/16,07:00:00,14.6606,78.800,,,,
04/04/16,07:15:00,14.6556,78.800,,,,
04/04/16,07:30:00,14.6556,78.800,,,,
04/04/16,07:45:00,14.6587,78.975,,,,
04/04/16,08:00:00,14.6568,79.151,,,,
04/04/16,08:15:00,14.6671,79.326,,,,
04/04/16,08:30:00,14.6652,79.502,,,,
04/04/16,08:45:00,14.6707,79.678,,,,
04/04/16,09:00:00,14.6694,80.029,,,,
04/04/16,09:15:00,14.6719,80.029,,,,
04/04/16,09:30:00,14.6710,80.559,,,,
04/04/16,09:45:00,14.6710,80.559,,,,
04/04/16,10:00:00,14.6681,80.382,,,,
04/04/16,10:15:00,14.7670,80.029,,,,
04/04/16,10:30:00,14.8440,79.678,,,,
04/04/16,10:45:00,14.8142,79.502,,,,
04/04/16,11:00:00,14.7941,79.326,,,,
04/04/16,11:15:00,14.7648,79.326,,,,
04/04/16,11:30:00,14.7527,79.326,,,,
04/04/16,11:45:00,14.7434,79.502,,,,
04/04/16,12:00:00,14.7318,79.678,,,,
04/04/16,12:15:00,14.7274,79.853,,,,
04/04/16,12:30:00,14.7177,79.853,,,,
04/04/16,12:45:00,14.7134,80.029,,,,
04/04/16,13:00:00,14.7065,80.206,,,,
04/04/16,13:15:00,14.7009,80.735,,,,
04/04/16,13:30:00,14.6961,80.735,,,,
04/04/16,13:45:00,14.6849,81.090,,,,
04/04/16,14:00:00,14.6801,81.090,,,,
04/04/16,14:15:00,14.6727,81.090,,,,
04/04/16,14:30:00,14.6720,81.621,,,,
04/04/16,14:45:00,14.6707,81.975,,,,
04/04/16,15:00:00,14.6707,81.975,,,,
04/04/16,15:15:00,14.6682,81.975,,,,
04/04/16,15:30:00,14.6635,81.975,,,,
04/04/16,15:45:00,14.6604,81.797,,,,
04/04/16,16:00:00,14.6648,81.621,,,,
04/04/16,16:15:00,14.6617,81.442,,,,
04/04/16,16:30:00,14.6636,81.266,,,,
04/04/16,16:45:00,14.6606,81.090,,,,
04/04/16,17:00:00,14.6619,80.735,,,,
04/04/16,17:15:00,14.6619,80.735,,,,
04/04/16,17:30:00,14.6638,80.559,,,,
04/04/16,17:45:00,14.6626,80.206,,,,
04/04/16,18:00:00,14.6626,80.206,,,,
04/04/16,18:15:00,14.6669,80.029,,,,
04/04/16,18:30:00,14.6713,79.853,,,,
04/04/16,18:45:00,14.6688,79.853,,,,
04/04/16,19:00:00,14.6688,79.853,,,,
04/04/16,19:15:00,14.6738,79.853,,,,
04/04/16,19:30:00,14.6780,79.678,,,,
04/04/16,19:45:00,14.6829,79.678,,,,
04/04/16,20:00:00,14.6804,79.678,,,,
04/04/16,20:15:00,14.6804,79.678,,,,
04/04/16,20:30:00,14.6829,79.678,,,,
04/04/16,20:45:00,14.6829,79.678,,,,
04/04/16,21:00:00,14.6829,79.678,,,,
04/04/16,21:15:00,14.6829,79.678,,,,
04/04/16,21:30:00,14.6878,79.678,,,,
04/04/16,21:45:00,14.6854,79.678,,,,
04/04/16,22:00:00,14.6854,79.678,,,,
04/04/16,22:15:00,14.6878,79.678,,,,
04/04/16,22:30:00,14.6829,79.678,,,,
04/04/16,22:45:00,14.6823,79.502,,,,
04/04/16,23:00:00,14.6798,79.502,,,,
04/04/16,23:15:00,14.6798,79.502,,,,
04/04/16,23:30:00,14.6798,79.502,,,,
04/04/16,23:45:00,14.6774,79.502,,,,
04/05/16,00:00:00,14.6751,79.502,,,,
04/05/16,00:15:00,14.6751,79.502,,,,
04/05/16,00:30:00,14.6751,79.502,,,,
04/05/16,00:45:00,14.6726,79.502,,,,
04/05/16,01:00:00,14.6774,79.502,,,,
04/05/16,01:15:00,14.7287,79.502,,,,
04/05/16,01:30:00,14.6994,79.502,,,,
04/05/16,01:45:00,14.6897,79.502,,,,
