Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,End Of File
04/01/16,12:45:00,14.6363,83.043,,,,
04/01/16,13:00:00,14.6368,83.221,,,,
04/01/16,13:15:00,14.6331,83.399,,,,
04/01/16,13:30:00,14.6282,83.221,,,,
04/01/16,13:45:00,14.6300,83.757,,,,
04/01/16,14:00:00,14.6305,83.935,,,,
04/01/16,14:15:00,14.6278,83.757,,,,
04/01/16,14:30:00,14.6262,83.935,,,,
04/01/16,14:45:00,14.6226,84.115,,,,
04/01/16,15:00:00,14.6188,84.295,,,,
04/01/16,15:15:00,14.6188,84.295,,,,
04/01/16,15:30:00,14.6188,84.295,,,,
04/01/16,15:45:00,14.6178,84.654,,,,
04/01/16,16:00:00,14.6146,84.295,,,,
04/01/16,16:15:00,14.6156,83.935,,,,
04/01/16,16:30:00,14.6188,83.579,,,,
04/01/16,16:45:00,14.6192,83.043,,,,
04/01/16,17:00:00,14.6223,82.686,,,,
04/01/16,17:15:00,14.6255,82.330,,,,
04/01/16,17:30:00,14.6271,82.152,,,,
04/01/16,17:45:00,14.6287,81.975,,,,
04/01/16,18:00:00,14.6281,81.797,,,,
04/01/16,18:15:00,14.6291,81.442,,,,
04/01/16,18:30:00,14.6329,81.266,,,,
04/01/16,18:45:00,14.6345,81.090,,,,
04/01/16,19:00:00,14.6381,80.911,,,,
04/01/16,19:15:00,14.6355,80.735,,,,
04/01/16,19:30:00,14.6349,80.559,,,,
04/01/16,19:45:00,14.6413,80.559,,,,
04/01/16,20:00:00,14.6407,80.382,,,,
04/01/16,20:15:00,14.6439,80.029,,,,
04/01/16,20:30:00,14.6471,79.678,,,,
04/01/16,20:45:00,14.6487,79.502,,,,
04/01/16,21:00:00,14.6535,79.678,,,,
04/01/16,21:15:00,14.6535,79.678,,,,
04/01/16,21:30:00,14.6556,79.678,,,,
04/01/16,21:45:00,14.6550,79.502,,,,
04/01/16,22:00:00,14.6546,79.326,,,,
04/01/16,22:15:00,14.6524,79.326,,,,
04/01/16,22:30:00,14.6566,79.326,,,,
04/01/16,22:45:00,14.6588,79.326,,,,
04/01/16,23:00:00,14.6562,79.151,,,,
04/01/16,23:15:00,14.6562,79.151,,,,
04/01/16,23:30:00,14.6871,79.502,,,,
04/01/16,23:45:00,14.7512,79.502,,,,
04/02/16,00:00:00,14.7540,79.678,,,,
04/02/16,00:15:00,14.7828,79.326,,,,
04/02/16,00:30:00,15.0014,78.800,,,,
04/02/16,00:45:00,15.1447,78.800,,,,
04/02/16,01:00:00,15.2678,78.449,,,,
04/02/16,01:15:00,15.2442,78.449,,,,
04/02/16,01:30:00,15.1688,78.274,,,,
04/02/16,01:45:00,15.1029,78.449,,,,
04/02/16,02:00:00,15.0745,78.274,,,,
04/02/16,02:15:00,15.0446,78.274,,,,
04/02/16,02:30:00,15.0146,78.274,,,,
04/02/16,02:45:00,14.9955,78.274,,,,
04/02/16,03:00:00,14.9654,78.274,,,,
04/02/16,03:15:00,14.9505,78.274,,,,
04/02/16,03:30:00,14.9377,78.274,,,,
04/02/16,03:45:00,14.9055,78.274,,,,
04/02/16,04:00:00,14.8971,78.274,,,,
04/02/16,04:15:00,14.8778,78.274,,,,
04/02/16,04:30:00,14.8714,78.274,,,,
04/02/16,04:45:00,14.8693,78.274,,,,
04/02/16,05:00:00,14.8543,78.274,,,,
04/02/16,05:15:00,14.8458,78.274,,,,
04/02/16,05:30:00,14.8356,78.449,,,,
04/02/16,05:45:00,14.8313,78.449,,,,
04/02/16,06:00:00,14.8227,78.449,,,,
04/02/16,06:15:00,14.8227,78.449,,,,
04/02/16,06:30:00,14.8191,78.624,,,,
04/02/16,06:45:00,14.8147,78.624,,,,
04/02/16,07:00:00,14.8105,78.624,,,,
04/02/16,07:15:00,14.8062,78.624,,,,
04/02/16,07:30:00,14.8020,78.624,,,,
04/02/16,07:45:00,14.7976,78.624,,,,
04/02/16,08:00:00,14.7956,78.624,,,,
04/02/16,08:15:00,14.7934,78.624,,,,
04/02/16,08:30:00,14.7934,78.624,,,,
04/02/16,08:45:00,14.7918,78.800,,,,
04/02/16,09:00:00,14.7817,78.975,,,,
04/02/16,09:15:00,14.7822,79.151,,,,
04/02/16,09:30:00,14.7828,79.326,,,,
04/02/16,09:45:00,14.7769,79.502,,,,
04/02/16,10:00:00,14.7705,79.502,,,,
04/02/16,10:15:00,14.7641,79.502,,,,
04/02/16,10:30:00,14.7603,79.678,,,,
04/02/16,10:45:00,14.7524,79.853,,,,
04/02/16,11:00:00,14.7486,80.029,,,,
04/02/16,11:15:00,14.7422,80.029,,,,
