,Date,Aasu_rain[in],Amouli_rain[in],Fagaalu_rain[in],Fagaitua_rain[in],Fagalii_rain[in],Malaeimi_rain[in],Malaeloa_rain[in],Nua_rain[in],Onenoa_rain[in],Satala_rain[in],PPG_rain[in]
84,2015-03-26,2.64,1.53,2.46,1.65,3.9,1.49,1.06,3.11,1.32,2.7,1.25
85,2015-03-27,0.59,1.22,0.9,1.41,0.59,1.29,0.7,0.48,0.67,0.41,0.04
86,2015-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2015-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
88,2015-03-30,0.98,1.7,1.46,2.8,0.79,1.4,1.81,1.73,1.24,1.49,0.18
89,2015-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
90,2015-04-01,1.16,0.05,0.48,0.37,1.02,0.76,0.33,1.07,0.03,0.59,0.56
91,2015-04-02,0.56,0.9,1.03,0.97,0.8,0.59,0.48,0.57,0.6,0.68,0.58
92,2015-04-03,0.64,0.2,1.38,0.95,0.31,2.02,2.15,0.49,0.85,0.95,1.21
93,2015-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
94,2015-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65
95,2015-04-06,0.19,0.28,0.4,0.55,0.08,0.72,1.45,0.12,0.31,0.39,0.01
96,2015-04-07,0.09,0.09,0.35,0.06,0.0,0.17,0.04,0.0,0.07,0.85,0.02
97,2015-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,2015-04-09,0.12,0.16,0.31,0.1,0.1,0.0,0.02,0.24,0.02,0.27,0.01
99,2015-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35
100,2015-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
101,2015-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,2015-04-13,0.15,0.0,0.62,0.1,0.0,0.77,0.53,0.11,0.0,0.39,0.23
103,2015-04-14,1.47,0.04,0.65,0.04,0.42,0.57,4.6,0.8,0.11,0.19,0.57
104,2015-04-15,0.0,0.0,0.04,0.0,0.0,0.02,0.02,0.0,0.0,0.02,0.18
105,2015-04-16,0.23,0.03,0.16,0.06,0.1,0.27,0.08,0.07,0.02,0.07,0.05
