Index, Month, Rain_Zone, Year, Random Number, Fragment_Set,fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment, fragment
   11,    1,   11,    1,  0.610078,   10,   0.000,   0.000,   0.002,   0.006,   0.019,   0.217,   0.016,   0.123,   0.120,   0.041,   0.248,   0.009,   0.000,   0.000,   0.000,   0.015,   0.000,   0.059,   0.000,   0.047,   0.010,   0.000,   0.000,   0.007,   0.006,   0.000,   0.000,   0.036,   0.015,   0.000,   0.005
   12,    1,   12,    1,  0.232730,   10,   0.005,   0.005,   0.000,   0.000,   0.000,   0.015,   0.108,   0.000,   0.039,   0.000,   0.034,   0.000,   0.000,   0.010,   0.000,   0.000,   0.103,   0.020,   0.054,   0.158,   0.168,   0.133,   0.000,   0.000,   0.005,   0.005,   0.000,   0.030,   0.069,   0.015,   0.025
   13,    1,   13,    1,  0.010159,   10,   0.141,   0.000,   0.000,   0.030,   0.272,   0.000,   0.000,   0.000,   0.000,   0.000,   0.019,   0.147,   0.047,   0.023,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.048,   0.115,   0.016,   0.000,   0.000,   0.000,   0.080,   0.019,   0.000,   0.021,   0.025
   14,    1,   14,    1,  0.248451,   10,   0.033,   0.141,   0.071,   0.056,   0.024,   0.036,   0.132,   0.078,   0.001,   0.009,   0.047,   0.025,   0.094,   0.135,   0.045,   0.000,   0.000,   0.001,   0.001,   0.000,   0.015,   0.002,   0.010,   0.000,   0.000,   0.000,   0.024,   0.001,   0.019,   0.000,   0.001
   15,    1,   15,    1,  0.168042,   10,   0.212,   0.041,   0.193,   0.274,   0.000,   0.019,   0.027,   0.000,   0.007,   0.000,   0.009,   0.000,   0.000,   0.000,   0.014,   0.028,   0.000,   0.000,   0.000,   0.030,   0.000,   0.006,   0.000,   0.028,   0.021,   0.028,   0.037,   0.011,   0.016,   0.000,   0.000
   16,    1,   16,    1,  0.554208,   10,   0.093,   0.003,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.007,   0.065,   0.001,   0.001,   0.005,   0.050,   0.028,   0.015,   0.000,   0.072,   0.160,   0.000,   0.000,   0.000,   0.269,   0.012,   0.025,   0.174,   0.019
   17,    1,   17,    1,  0.442863,   10,   0.177,   0.069,   0.002,   0.073,   0.014,   0.001,   0.000,   0.006,   0.000,   0.013,   0.000,   0.012,   0.013,   0.101,   0.002,   0.000,   0.000,   0.009,   0.003,   0.013,   0.000,   0.000,   0.082,   0.000,   0.073,   0.063,   0.041,   0.079,   0.086,   0.010,   0.057
   18,    1,   18,    1,  0.255439,   10,   0.183,   0.057,   0.031,   0.000,   0.000,   0.286,   0.172,   0.118,   0.031,   0.023,   0.000,   0.008,   0.008,   0.019,   0.000,   0.000,   0.004,   0.004,   0.023,   0.031,   0.000,   0.000,   0.000,   0.000,   0.004,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000
    1,    1,    1,    1,  0.015500,   10,   0.000,   0.008,   0.000,   0.000,   0.000,   0.003,   0.022,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.020,   0.092,   0.008,   0.369,   0.095,   0.296,   0.011,   0.000,   0.000,   0.053,   0.000,   0.017,   0.000,   0.003,   0.003
    2,    1,    2,    1,  0.274230,   10,   0.004,   0.191,   0.010,   0.004,   0.001,   0.001,   0.010,   0.042,   0.069,   0.033,   0.007,   0.004,   0.004,   0.003,   0.009,   0.004,   0.004,   0.020,   0.178,   0.103,   0.001,   0.000,   0.000,   0.000,   0.118,   0.038,   0.027,   0.046,   0.010,   0.010,   0.051
    3,    1,    3,    1,  0.990897,   10,   0.000,   0.000,   0.076,   0.000,   0.000,   0.000,   0.197,   0.135,   0.162,   0.015,   0.000,   0.000,   0.009,   0.000,   0.002,   0.013,   0.001,   0.000,   0.000,   0.000,   0.146,   0.081,   0.114,   0.005,   0.000,   0.000,   0.000,   0.000,   0.025,   0.019,   0.000
    4,    1,    4,    1,  0.002707,   10,   0.000,   0.050,   0.000,   0.110,   0.018,   0.000,   0.000,   0.136,   0.000,   0.000,   0.036,   0.112,   0.000,   0.000,   0.000,   0.250,   0.000,   0.000,   0.068,   0.000,   0.000,   0.017,   0.201,   0.000,   0.000,   0.000,   0.000,   0.000,   0.004,   0.000,   0.000
    5,    1,    5,    1,  0.140152,   10,   0.175,   0.126,   0.001,   0.006,   0.004,   0.013,   0.011,   0.002,   0.034,   0.024,   0.000,   0.029,   0.001,   0.024,   0.001,   0.037,   0.001,   0.096,   0.018,   0.014,   0.027,   0.000,   0.001,   0.002,   0.042,   0.092,   0.101,   0.002,   0.060,   0.019,   0.037
    6,    1,    6,    1,  0.556244,   10,   0.048,   0.001,   0.000,   0.009,   0.031,   0.114,   0.033,   0.037,   0.156,   0.098,   0.010,   0.008,   0.009,   0.001,   0.002,   0.001,   0.000,   0.023,   0.031,   0.024,   0.058,   0.081,   0.034,   0.014,   0.004,   0.028,   0.060,   0.048,   0.008,   0.027,   0.000
    7,    1,    7,    1,  0.382772,   10,   0.000,   0.120,   0.093,   0.013,   0.000,   0.000,   0.000,   0.000,   0.000,   0.053,   0.000,   0.013,   0.013,   0.040,   0.040,   0.187,   0.027,   0.173,   0.040,   0.013,   0.080,   0.000,   0.013,   0.000,   0.027,   0.000,   0.013,   0.013,   0.013,   0.000,   0.013
    8,    1,    8,    1,  0.195782,   10,   0.000,   0.000,   0.000,   0.021,   0.000,   0.004,   0.000,   0.000,   0.038,   0.000,   0.000,   0.066,   0.021,   0.020,   0.000,   0.000,   0.054,   0.030,   0.062,   0.062,   0.000,   0.000,   0.067,   0.152,   0.089,   0.124,   0.066,   0.000,   0.000,   0.052,   0.074
    9,    1,    9,    1,  0.575498,   10,   0.024,   0.041,   0.073,   0.000,   0.008,   0.000,   0.000,   0.000,   0.000,   0.000,   0.032,   0.008,   0.000,   0.008,   0.016,   0.016,   0.032,   0.008,   0.041,   0.024,   0.041,   0.041,   0.057,   0.098,   0.024,   0.008,   0.016,   0.000,   0.317,   0.065,   0.000
   10,    1,   10,    1,  0.352926,   10,   0.000,   0.000,   0.075,   0.140,   0.000,   0.000,   0.076,   0.017,   0.025,   0.121,   0.000,   0.000,   0.000,   0.028,   0.000,   0.119,   0.024,   0.056,   0.000,   0.000,   0.130,   0.033,   0.000,   0.000,   0.014,   0.000,   0.017,   0.047,   0.026,   0.051,   0.001
   11,    1,   11,    1,  0.610078,   10,   0.000,   0.000,   0.002,   0.006,   0.019,   0.217,   0.016,   0.123,   0.120,   0.041,   0.248,   0.009,   0.000,   0.000,   0.000,   0.015,   0.000,   0.059,   0.000,   0.047,   0.010,   0.000,   0.000,   0.007,   0.006,   0.000,   0.000,   0.036,   0.015,   0.000,   0.005
   12,    1,   12,    1,  0.232730,   10,   0.005,   0.005,   0.000,   0.000,   0.000,   0.015,   0.108,   0.000,   0.039,   0.000,   0.034,   0.000,   0.000,   0.010,   0.000,   0.000,   0.103,   0.020,   0.054,   0.158,   0.168,   0.133,   0.000,   0.000,   0.005,   0.005,   0.000,   0.030,   0.069,   0.015,   0.025
   13,    1,   13,    1,  0.010159,   10,   0.141,   0.000,   0.000,   0.030,   0.272,   0.000,   0.000,   0.000,   0.000,   0.000,   0.019,   0.147,   0.047,   0.023,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.048,   0.115,   0.016,   0.000,   0.000,   0.000,   0.080,   0.019,   0.000,   0.021,   0.025
   14,    1,   14,    1,  0.248451,   10,   0.033,   0.141,   0.071,   0.056,   0.024,   0.036,   0.132,   0.078,   0.001,   0.009,   0.047,   0.025,   0.094,   0.135,   0.045,   0.000,   0.000,   0.001,   0.001,   0.000,   0.015,   0.002,   0.010,   0.000,   0.000,   0.000,   0.024,   0.001,   0.019,   0.000,   0.001
   15,    1,   15,    1,  0.168042,   10,   0.212,   0.041,   0.193,   0.274,   0.000,   0.019,   0.027,   0.000,   0.007,   0.000,   0.009,   0.000,   0.000,   0.000,   0.014,   0.028,   0.000,   0.000,   0.000,   0.030,   0.000,   0.006,   0.000,   0.028,   0.021,   0.028,   0.037,   0.011,   0.016,   0.000,   0.000
   16,    1,   16,    1,  0.554208,   10,   0.093,   0.003,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.007,   0.065,   0.001,   0.001,   0.005,   0.050,   0.028,   0.015,   0.000,   0.072,   0.160,   0.000,   0.000,   0.000,   0.269,   0.012,   0.025,   0.174,   0.019
   17,    1,   17,    1,  0.442863,   10,   0.177,   0.069,   0.002,   0.073,   0.014,   0.001,   0.000,   0.006,   0.000,   0.013,   0.000,   0.012,   0.013,   0.101,   0.002,   0.000,   0.000,   0.009,   0.003,   0.013,   0.000,   0.000,   0.082,   0.000,   0.073,   0.063,   0.041,   0.079,   0.086,   0.010,   0.057
   18,    1,   18,    1,  0.255439,   10,   0.183,   0.057,   0.031,   0.000,   0.000,   0.286,   0.172,   0.118,   0.031,   0.023,   0.000,   0.008,   0.008,   0.019,   0.000,   0.000,   0.004,   0.004,   0.023,   0.031,   0.000,   0.000,   0.000,   0.000,   0.004,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000
    1,    2,    1,    1,  0.840142,   10,   0.000,   0.005,   0.000,   0.015,   0.005,   0.000,   0.005,   0.260,   0.015,   0.000,   0.010,   0.000,   0.030,   0.210,   0.160,   0.065,   0.010,   0.005,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.160,   0.020,   0.025,   0.000,   0.000,   0.000
    2,    2,    2,    1,  0.350042,   10,   0.032,   0.000,   0.000,   0.042,   0.028,   0.036,   0.089,   0.000,   0.000,   0.000,   0.043,   0.012,   0.165,   0.055,   0.198,   0.000,   0.000,   0.000,   0.055,   0.000,   0.000,   0.130,   0.000,   0.000,   0.113,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000
    3,    2,    3,    1,  0.393428,   10,   0.008,   0.016,   0.025,   0.006,   0.000,   0.033,   0.000,   0.000,   0.000,   0.000,   0.000,   0.198,   0.227,   0.116,   0.037,   0.074,   0.006,   0.012,   0.012,   0.000,   0.000,   0.000,   0.124,   0.021,   0.012,   0.004,   0.012,   0.054,   0.000,   0.000,   0.000
    4,    2,    4,    1,  0.371160,   10,   0.155,   0.000,   0.000,   0.064,   0.000,   0.000,   0.242,   0.000,   0.000,   0.000,   0.028,   0.000,   0.000,   0.046,   0.060,   0.000,   0.000,   0.072,   0.000,   0.000,   0.000,   0.076,   0.181,   0.000,   0.000,   0.000,   0.000,   0.076,   0.000,   0.000,   0.000
    5,    2,    5,    1,  0.287185,   10,   0.005,   0.016,   0.022,   0.044,   0.131,   0.000,   0.000,   0.001,   0.089,   0.002,   0.025,   0.021,   0.010,   0.001,   0.020,   0.069,   0.141,   0.087,   0.016,   0.075,   0.004,   0.004,   0.001,   0.136,   0.078,   0.000,   0.000,   0.001,   0.000,   0.000,   0.000
    6,    2,    6,    1,  0.198353,   10,   0.000,   0.015,   0.000,   0.025,   0.000,   0.000,   0.077,   0.000,   0.000,   0.000,   0.001,   0.000,   0.000,   0.000,   0.064,   0.079,   0.060,   0.006,   0.087,   0.167,   0.020,   0.189,   0.079,   0.034,   0.013,   0.067,   0.000,   0.015,   0.001,   0.000,   0.000
    7,    2,    7,    1,  0.056804,   10,   0.014,   0.000,   0.014,   0.005,   0.000,   0.000,   0.005,   0.005,   0.042,   0.005,   0.000,   0.000,   0.051,   0.139,   0.023,   0.037,   0.009,   0.116,   0.056,   0.014,   0.000,   0.000,   0.185,   0.000,   0.005,   0.102,   0.102,   0.074,   0.000,   0.000,   0.000
    8,    2,    8,    1,  0.207230,   10,   0.081,   0.000,   0.013,   0.000,   0.000,   0.028,   0.000,   0.000,   0.000,   0.023,   0.000,   0.000,   0.065,   0.158,   0.114,   0.000,   0.000,   0.000,   0.000,   0.263,   0.085,   0.020,   0.051,   0.025,   0.000,   0.000,   0.074,   0.000,   0.000,   0.000,   0.000
    9,    2,    9,    1,  0.780725,   10,   0.011,   0.005,   0.002,   0.061,   0.029,   0.006,   0.093,   0.011,   0.005,   0.009,   0.015,   0.026,   0.025,   0.010,   0.000,   0.000,   0.020,   0.058,   0.024,   0.017,   0.010,   0.004,   0.052,   0.000,   0.019,   0.021,   0.053,   0.001,   0.413,   0.000,   0.000
   10,    2,   10,    1,  0.988115,   10,   0.000,   0.000,   0.085,   0.070,   0.132,   0.000,   0.008,   0.031,   0.008,   0.132,   0.039,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.015,   0.000,   0.008,   0.000,   0.295,   0.093,   0.015,   0.008,   0.062,   0.000,   0.000,   0.000,   0.000
   11,    2,   11,    1,  0.831763,   10,   0.000,   0.000,   0.011,   0.086,   0.143,   0.161,   0.197,   0.018,   0.090,   0.007,   0.029,   0.000,   0.000,   0.018,   0.001,   0.000,   0.010,   0.045,   0.018,   0.001,   0.013,   0.039,   0.000,   0.000,   0.007,   0.014,   0.018,   0.075,   0.000,   0.000,   0.000
   12,    2,   12,    1,  0.717015,   10,   0.239,   0.000,   0.162,   0.000,   0.017,   0.000,   0.000,   0.000,   0.026,   0.017,   0.000,   0.000,   0.034,   0.009,   0.128,   0.205,   0.094,   0.026,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.026,   0.017,   0.000,   0.000,   0.000,   0.000
   13,    2,   13,    1,  0.734001,   10,   0.038,   0.000,   0.029,   0.000,   0.000,   0.000,   0.036,   0.082,   0.000,   0.136,   0.000,   0.000,   0.000,   0.079,   0.049,   0.207,   0.114,   0.068,   0.019,   0.000,   0.000,   0.016,   0.016,   0.000,   0.035,   0.000,   0.061,   0.014,   0.000,   0.000,   0.000
   14,    2,   14,    1,  0.576281,   10,   0.021,   0.032,   0.000,   0.058,   0.004,   0.007,   0.103,   0.184,   0.051,   0.029,   0.138,   0.026,   0.207,   0.011,   0.015,   0.034,   0.002,   0.000,   0.007,   0.013,   0.000,   0.000,   0.002,   0.009,   0.050,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000
   15,    2,   15,    1,  0.168975,   10,   0.028,   0.066,   0.042,   0.031,   0.080,   0.056,   0.042,   0.083,   0.000,   0.007,   0.087,   0.154,   0.000,   0.021,   0.012,   0.084,   0.045,   0.000,   0.000,   0.080,   0.000,   0.000,   0.006,   0.013,   0.000,   0.000,   0.000,   0.063,   0.000,   0.000,   0.000
   16,    2,   16,    1,  0.565552,   10,   0.018,   0.000,   0.058,   0.033,   0.072,   0.082,   0.011,   0.001,   0.021,   0.055,   0.001,   0.000,   0.005,   0.000,   0.011,   0.041,   0.018,   0.141,   0.208,   0.014,   0.001,   0.004,   0.000,   0.000,   0.003,   0.005,   0.032,   0.167,   0.000,   0.000,   0.000
   17,    2,   17,    1,  0.134385,   10,   0.062,   0.000,   0.105,   0.015,   0.000,   0.064,   0.018,   0.001,   0.013,   0.006,   0.008,   0.000,   0.004,   0.104,   0.095,   0.103,   0.058,   0.080,   0.059,   0.001,   0.025,   0.000,   0.007,   0.049,   0.013,   0.058,   0.006,   0.039,   0.007,   0.000,   0.000
   18,    2,   18,    1,  0.102784,   10,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.002,   0.003,   0.059,   0.132,   0.184,   0.033,   0.105,   0.228,   0.002,   0.000,   0.000,   0.000,   0.015,   0.110,   0.023,   0.068,   0.023,   0.009,   0.005,   0.000,   0.000,   0.000,   0.000
    1,    3,    1,    1,  0.717004,   10,   0.000,   0.000,   0.004,   0.000,   0.004,   0.000,   0.016,   0.049,   0.012,   0.097,   0.190,   0.069,   0.097,   0.012,   0.057,   0.000,   0.000,   0.000,   0.000,   0.000,   0.028,   0.000,   0.000,   0.081,   0.004,   0.000,   0.211,   0.008,   0.004,   0.057,   0.000
    2,    3,    2,    1,  0.045525,   10,   0.014,   0.030,   0.012,   0.013,   0.050,   0.024,   0.015,   0.051,   0.000,   0.007,   0.000,   0.000,   0.021,   0.009,   0.081,   0.000,   0.012,   0.010,   0.050,   0.167,   0.107,   0.024,   0.016,   0.100,   0.033,   0.007,   0.000,   0.000,   0.077,   0.051,   0.020
    3,    3,    3,    1,  0.240108,   10,   0.036,   0.032,   0.461,   0.154,   0.024,   0.007,   0.001,   0.089,   0.010,   0.024,   0.000,   0.000,   0.000,   0.003,   0.001,   0.022,   0.011,   0.001,   0.023,   0.021,   0.001,   0.001,   0.007,   0.020,   0.000,   0.000,   0.000,   0.016,   0.033,   0.003,   0.000
    4,    3,    4,    1,  0.048587,   10,   0.006,   0.000,   0.000,   0.010,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.053,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.205,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.083,   0.240,   0.000,   0.000,   0.402,   0.000,   0.000
    5,    3,    5,    1,  0.314790,   10,   0.005,   0.017,   0.120,   0.101,   0.027,   0.039,   0.000,   0.002,   0.037,   0.039,   0.197,   0.069,   0.020,   0.000,   0.002,   0.002,   0.002,   0.000,   0.002,   0.017,   0.000,   0.059,   0.002,   0.000,   0.103,   0.012,   0.074,   0.047,   0.000,   0.002,   0.000
    6,    3,    6,    1,  0.109547,   10,   0.004,   0.000,   0.070,   0.000,   0.000,   0.007,   0.009,   0.049,   0.097,   0.011,   0.012,   0.203,   0.004,   0.102,   0.008,   0.007,   0.087,   0.038,   0.001,   0.055,   0.004,   0.055,   0.015,   0.012,   0.009,   0.008,   0.052,   0.001,   0.016,   0.012,   0.050
    7,    3,    7,    1,  0.103689,   10,   0.058,   0.083,   0.000,   0.000,   0.008,   0.083,   0.033,   0.033,   0.017,   0.017,   0.042,   0.008,   0.033,   0.158,   0.008,   0.008,   0.033,   0.083,   0.000,   0.000,   0.025,   0.017,   0.008,   0.008,   0.000,   0.025,   0.083,   0.000,   0.000,   0.017,   0.108
    8,    3,    8,    1,  0.704337,   10,   0.000,   0.000,   0.026,   0.000,   0.000,   0.000,   0.265,   0.054,   0.000,   0.000,   0.000,   0.000,   0.000,   0.126,   0.025,   0.014,   0.039,   0.000,   0.000,   0.000,   0.241,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.096,   0.000,   0.000,   0.113
    9,    3,    9,    1,  0.597838,   10,   0.005,   0.010,   0.228,   0.095,   0.089,   0.033,   0.017,   0.031,   0.018,   0.017,   0.000,   0.003,   0.000,   0.000,   0.046,   0.021,   0.033,   0.003,   0.043,   0.002,   0.023,   0.000,   0.009,   0.032,   0.000,   0.001,   0.000,   0.037,   0.104,   0.075,   0.028
   10,    3,   10,    1,  0.194129,   10,   0.000,   0.057,   0.057,   0.000,   0.000,   0.050,   0.126,   0.019,   0.006,   0.006,   0.000,   0.000,   0.013,   0.000,   0.013,   0.006,   0.019,   0.013,   0.038,   0.044,   0.082,   0.006,   0.101,   0.050,   0.163,   0.063,   0.006,   0.000,   0.019,   0.013,   0.031
   11,    3,   11,    1,  0.066618,   10,   0.382,   0.086,   0.000,   0.007,   0.025,   0.049,   0.019,   0.011,   0.009,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.012,   0.012,   0.000,   0.002,   0.000,   0.001,   0.001,   0.030,   0.069,   0.000,   0.000,   0.000,   0.197,   0.000,   0.086
   12,    3,   12,    1,  0.842015,   10,   0.000,   0.000,   0.041,   0.000,   0.000,   0.047,   0.082,   0.012,   0.000,   0.047,   0.006,   0.006,   0.018,   0.041,   0.035,   0.006,   0.018,   0.006,   0.029,   0.035,   0.012,   0.018,   0.076,   0.041,   0.252,   0.088,   0.023,   0.000,   0.018,   0.012,   0.035
   13,    3,   13,    1,  0.908270,   10,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.122,   0.000,   0.000,   0.000,   0.153,   0.000,   0.071,   0.000,   0.000,   0.000,   0.149,   0.281,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.224
   14,    3,   14,    1,  0.212658,   10,   0.025,   0.000,   0.003,   0.000,   0.000,   0.000,   0.000,   0.014,   0.003,   0.005,   0.022,   0.014,   0.001,   0.027,   0.036,   0.063,   0.120,   0.212,   0.054,   0.053,   0.017,   0.089,   0.067,   0.000,   0.000,   0.015,   0.068,   0.008,   0.004,   0.040,   0.040
   15,    3,   15,    1,  0.163346,   10,   0.086,   0.057,   0.054,   0.032,   0.205,   0.000,   0.000,   0.000,   0.000,   0.117,   0.106,   0.000,   0.000,   0.032,   0.009,   0.019,   0.007,   0.000,   0.000,   0.032,   0.049,   0.000,   0.005,   0.000,   0.000,   0.029,   0.000,   0.155,   0.009,   0.000,   0.000
   16,    3,   16,    1,  0.583270,   10,   0.059,   0.025,   0.123,   0.040,   0.000,   0.072,   0.000,   0.010,   0.000,   0.071,   0.100,   0.056,   0.002,   0.000,   0.002,   0.023,   0.000,   0.000,   0.014,   0.002,   0.000,   0.035,   0.230,   0.000,   0.000,   0.025,   0.086,   0.019,   0.005,   0.000,   0.000
   17,    3,   17,    1,  0.402398,   10,   0.021,   0.076,   0.084,   0.001,   0.001,   0.000,   0.001,   0.002,   0.009,   0.042,   0.031,   0.027,   0.026,   0.143,   0.025,   0.202,   0.001,   0.121,   0.038,   0.047,   0.007,   0.001,   0.020,   0.009,   0.001,   0.000,   0.000,   0.000,   0.001,   0.009,   0.054
   18,    3,   18,    1,  0.971171,   10,   0.020,   0.004,   0.000,   0.008,   0.000,   0.002,   0.010,   0.000,   0.020,   0.049,   0.035,   0.076,   0.002,   0.041,   0.004,   0.061,   0.092,   0.004,   0.170,   0.053,   0.000,   0.006,   0.043,   0.039,   0.004,   0.024,   0.100,   0.024,   0.008,   0.033,   0.065
    1,    4,    1,    1,  0.577885,   10,   0.216,   0.012,   0.000,   0.053,   0.035,   0.006,   0.000,   0.152,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.029,   0.351,   0.006,   0.000,   0.035,   0.000,   0.000,   0.018,   0.000,   0.000,   0.058,   0.018,   0.012,   0.000,   0.000
    2,    4,    2,    1,  0.255735,   10,   0.036,   0.014,   0.094,   0.068,   0.039,   0.000,   0.000,   0.000,   0.000,   0.003,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.113,   0.000,   0.023,   0.124,   0.129,   0.273,   0.000,   0.006,   0.072,   0.000,   0.007,   0.000
    3,    4,    3,    1,  0.140878,   10,   0.000,   0.000,   0.000,   0.062,   0.051,   0.000,   0.000,   0.069,   0.102,   0.000,   0.000,   0.000,   0.000,   0.000,   0.455,   0.000,   0.000,   0.000,   0.136,   0.000,   0.000,   0.000,   0.000,   0.016,   0.000,   0.020,   0.060,   0.000,   0.029,   0.000,   0.000
    4,    4,    4,    1,  0.064344,   10,   0.000,   0.000,   0.334,   0.000,   0.000,   0.000,   0.000,   0.052,   0.111,   0.000,   0.068,   0.000,   0.000,   0.000,   0.042,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.199,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.194,   0.000,   0.000
    5,    4,    5,    1,  0.018856,   10,   0.006,   0.005,   0.091,   0.091,   0.169,   0.001,   0.000,   0.029,   0.053,   0.144,   0.077,   0.032,   0.000,   0.032,   0.000,   0.010,   0.000,   0.000,   0.000,   0.000,   0.007,   0.001,   0.001,   0.067,   0.001,   0.011,   0.001,   0.000,   0.094,   0.076,   0.000
