Fagaitua_no_rain,,,,,,,,
                    ,Solar Rad (wat/m2),RH (%),Temperature (*F),Rainfall (In),Wind Dir (Deg),Wind Gust (mph),Wind Speed (mph),Dew Point (*F)
7/1/2017 14:30,786,61,78.8,0,149,10,3,64.4
7/1/2017 14:45,717,62.1,78.8,0,127,7,2,65
7/1/2017 15:00,722,62,78.9,0,128,8,3,65
7/1/2017 15:15,480,64.2,78,0,128,10,3,65.2
7/1/2017 15:30,473,65.1,77.5,0,134,10,3,65.1
7/1/2017 15:45,432,64.5,77.5,0,127,10,3,64.8
7/1/2017 16:00,424,63.9,77.4,0,136,8,3,64.5
7/1/2017 16:15,384,64.4,77.2,0,115,11,4,64.5
7/1/2017 16:30,184,67.3,76.5,0,122,12,4,65.1
7/1/2017 16:45,128,69.7,76,0,124,9,3,65.6
7/1/2017 17:00,57,69.6,75.8,0,114,16,6,65.4
7/1/2017 17:15,47,70.5,75.7,0,127,12,4,65.6
7/1/2017 17:30,29,70.6,75.6,0,117,11,3,65.6
7/1/2017 17:45,20,70.3,75.4,0,125,18,4,65.3
7/1/2017 18:00,9,70.5,75.4,0,122,10,3,65.3
7/1/2017 18:15,1,69.7,75.3,0,120,10,4,64.9
7/1/2017 18:30,0,70.1,75.3,0,120,11,4,65.1
7/1/2017 18:45,0,69.3,75.4,0,111,15,4,64.9
7/1/2017 19:00,0,71.1,75.5,0,135,14,3,65.7
7/1/2017 19:15,0,70.8,75.6,0,115,13,4,65.6
7/1/2017 19:30,0,71.4,75.7,0,111,15,4,66
7/1/2017 19:45,0,70.9,75.8,0,117,15,5,65.9
7/1/2017 20:00,0,70.8,75.9,0,131,12,4,65.9
7/1/2017 20:15,0,71.2,76,0,120,10,4,66.2
7/1/2017 20:30,0,70.7,75.9,0,122,15,6,65.9
7/1/2017 20:45,0,71,75.9,0,125,13,4,66
7/1/2017 21:00,0,70.2,75.9,0,121,13,4,65.7
7/1/2017 21:15,0,69.3,76,0,117,15,5,65.4
7/1/2017 21:30,0,69.5,76,0,110,13,5,65.5
7/1/2017 21:45,0,70.1,75.9,0,125,12,4,65.7
7/1/2017 22:00,0,69.1,75.9,0,115,11,3,65.2
7/1/2017 22:15,0,68.5,75.9,0,117,13,4,65
7/1/2017 22:30,0,68.2,76,0,122,11,4,65
7/1/2017 22:45,0,68.1,76,0,117,10,2,64.9
7/1/2017 23:00,0,67.1,76,0,112,9,2,64.5
7/1/2017 23:15,0,68.6,75.9,0,120,7,2,65
7/1/2017 23:30,0,69.9,75.8,0,127,7,2,65.5
7/1/2017 23:45,0,70,75.7,0,122,12,2,65.4
7/2/2017 0:00,0,70.9,75.7,0,128,8,2,65.8
7/2/2017 0:15,0,68.8,75.7,0,134,10,3,64.9
7/2/2017 0:30,0,68.6,76,0,131,12,3,65.1
7/2/2017 0:45,0,68.3,75.7,0,110,9,2,64.7
7/2/2017 1:00,0,72.8,75.3,0,135,7,2,66.1
7/2/2017 1:15,0,70,75.1,0,134,12,3,64.8
7/2/2017 1:30,0,72.2,75.4,0,114,11,3,66
7/2/2017 1:45,0,72.8,75.2,0,129,9,2,66
7/2/2017 2:00,0,74.3,75.1,0,127,9,2,66.5
7/2/2017 2:15,0,72.9,75.3,0,117,11,2,66.2
7/2/2017 2:30,0,70.6,75.7,0,124,9,2,65.7
7/2/2017 2:45,0,72.2,75.7,0,124,7,2,66.3
7/2/2017 3:00,0,71.1,75.7,0,110,14,3,65.9
7/2/2017 3:15,0,76,74.7,0,110,11,3,66.8
7/2/2017 3:30,0,76.2,73.9,0,124,10,2,66.1
7/2/2017 3:45,0,77,73.9,0,107,13,3,66.4
7/2/2017 4:00,0,77.6,73.7,0,124,7,1,66.4
7/2/2017 4:15,0,75,74.4,0,132,14,3,66.1
7/2/2017 4:30,0,75.4,74.8,0,112,10,3,66.6
7/2/2017 4:45,0,75.8,74.4,0,120,11,3,66.4
7/2/2017 5:00,0,76.9,74,0,110,13,5,66.4
7/2/2017 5:15,0,78.7,73.8,0,117,7,2,66.9
7/2/2017 5:30,0,77,74.3,0,124,10,2,66.8
7/2/2017 5:45,0,77.3,74.5,0,129,9,2,67.1
7/2/2017 6:00,0,77.3,74.7,0,131,9,3,67.3
7/2/2017 6:15,0,77.8,74.8,0,132,9,3,67.5
7/2/2017 6:30,0,77.2,74.2,0,131,12,3,66.7
7/2/2017 6:45,1,76.5,74.6,0,121,14,4,66.9
7/2/2017 7:00,6,76,74.8,0,110,17,4,66.9
7/2/2017 7:15,26,75,75.1,0,117,14,4,66.8
7/2/2017 7:30,59,75.3,75.3,0,129,12,3,67.1
7/2/2017 7:45,56,74.9,75.4,0,115,14,4,67
7/2/2017 8:00,82,75,75.6,0,124,7,3,67.3
7/2/2017 8:15,98,75,75.7,0,110,9,2,67.4
7/2/2017 8:30,236,72.6,76,0,108,13,3,66.7
7/2/2017 8:45,167,74.7,76.4,0,97,10,2,67.9
7/2/2017 9:00,274,73.4,76.7,0,111,7,2,67.7
7/2/2017 9:15,245,73.1,77.1,0,111,13,3,68
7/2/2017 9:30,259,73.7,76.9,0,108,7,1,68
7/2/2017 9:45,316,73,77.3,0,120,9,2,68.2
7/2/2017 10:00,413,70.8,78,0,112,8,1,68
7/2/2017 10:15,368,69.4,78.1,0,115,8,2,67.5
7/2/2017 10:30,441,69,78.7,0,120,6,1,67.9
7/2/2017 10:45,308,71.6,78.2,0,129,6,1,68.5
7/2/2017 11:00,267,71.7,77.8,0,118,7,2,68.1
7/2/2017 11:15,303,71.2,77.5,0,104,10,4,67.6
7/2/2017 11:30,302,71.4,77.6,0,115,9,2,67.8
7/2/2017 11:45,363,72.7,77.4,0,128,7,2,68.1
7/2/2017 12:00,471,71.9,77.9,0,124,10,2,68.3
7/2/2017 12:15,454,71,78.5,0,131,11,3,68.5
7/2/2017 12:30,352,72.7,77.7,0,127,11,2,68.4
7/2/2017 12:45,611,72.9,78,0,114,9,2,68.8
7/2/2017 13:00,368,73.4,78.1,0,120,6,1,69.1
7/2/2017 13:15,254,73.7,77.5,0,108,9,3,68.6
7/2/2017 13:30,197,74.4,77,0,110,9,3,68.4
7/2/2017 13:45,84,76.3,76.4,0,125,8,2,68.5
7/2/2017 14:00,101,77,75.9,0,127,10,2,68.3
7/2/2017 14:15,209,81.4,75,0,114,13,4,69
7/2/2017 14:30,364,80.9,74.9,0,121,7,2,68.7
7/2/2017 14:45,305,80.5,75.3,0,112,12,4,69
7/2/2017 15:00,393,79.2,75.9,0,127,9,3,69.1
7/2/2017 15:15,375,79.5,76.3,0,129,7,2,69.6
7/2/2017 15:30,317,77.4,76.6,0,124,9,2,69.1
7/2/2017 15:45,289,77.4,76.7,0,111,9,2,69.2
7/2/2017 16:00,166,78.1,76.7,0,100,7,1,69.5
7/2/2017 16:15,184,76.9,76.3,0,98,13,4,68.7
7/2/2017 16:30,189,76.8,76.4,0,97,10,2,68.7
7/2/2017 16:45,236,75,76.9,0,120,12,2,68.5
7/2/2017 17:00,78,76.4,76.7,0,101,11,2,68.9
7/2/2017 17:15,43,78,76.1,0,87,8,2,68.9
7/2/2017 17:30,42,77.1,76,0,93,12,4,68.4
7/2/2017 17:45,25,77.3,76,0,100,8,3,68.5
7/2/2017 18:00,8,79.1,75.7,0,94,9,1,68.9
7/2/2017 18:15,0,79.1,75.7,0,83,8,2,68.9
7/2/2017 18:30,0,79.2,75.8,0,104,12,2,69
7/2/2017 18:45,0,79.6,75.9,0,96,7,1,69.2
7/2/2017 19:00,0,80.4,76,0,103,6,1,69.6
7/2/2017 19:15,0,79.3,76.1,0,110,12,2,69.3
7/2/2017 19:30,0,79.9,76.2,0,103,9,2,69.6
7/2/2017 19:45,0,79.9,76.2,0,108,8,2,69.6
7/2/2017 20:00,0,79.2,76.4,0,118,8,2,69.6
7/2/2017 20:15,0,78.9,76.4,0,121,10,3,69.5
7/2/2017 20:30,0,79.9,76.6,0,121,8,2,70
7/2/2017 20:45,0,78.7,76.6,0,114,11,3,69.6
7/2/2017 21:00,0,78.4,76.7,0,111,9,3,69.6
7/2/2017 21:15,0,78.6,76.8,0,117,13,4,69.8
7/2/2017 21:30,0,84.1,76,0,115,8,2,70.9
7/2/2017 21:45,0,89.7,73.9,0,117,9,2,70.7
7/2/2017 22:00,0,93.1,72.9,0,134,7,2,70.8
7/2/2017 22:15,0,94.7,72.7,0,118,8,2,71.1
7/2/2017 22:30,0,95.4,72.9,0,121,10,3,71.5
7/2/2017 22:45,0,95.9,73.1,0,128,11,2,71.8
7/2/2017 23:00,0,96.2,73.4,0,121,7,2,72.2
7/2/2017 23:15,0,96.5,73.8,0,134,9,1,72.7
7/2/2017 23:30,0,96.8,74,0,125,13,2,73
7/2/2017 23:45,0,96.9,74.3,0,144,10,1,73.3
7/3/2017 0:00,0,97.2,74.9,0,128,8,1,74
7/3/2017 0:15,0,97,75.3,0,127,6,1,74.4
7/3/2017 0:30,0,96.1,75.5,0,120,11,2,74.3
7/3/2017 0:45,0,94.7,75.9,0,114,9,3,74.2
7/3/2017 1:00,0,92.7,76,0,114,10,4,73.7
7/3/2017 1:15,0,92.2,75.8,0,127,12,4,73.4
7/3/2017 1:30,0,93.5,75.4,0,142,8,1,73.4
7/3/2017 1:45,0,94.6,75.4,0,136,6,2,73.7
7/3/2017 2:00,0,95.4,75.7,0,127,6,2,74.3
7/3/2017 2:15,0,95.6,75.9,0,117,9,2,74.5
7/3/2017 2:30,0,95.9,75.9,0,121,9,2,74.6
7/3/2017 2:45,0,95.8,76,0,114,8,1,74.7
7/3/2017 3:00,0,95.4,76.2,0,134,12,2,74.8
7/3/2017 3:15,0,94.3,76.5,0,129,10,2,74.7
7/3/2017 3:30,0,92.7,76.7,0,120,7,2,74.4
7/3/2017 3:45,0,91.9,76.9,0,117,8,2,74.3
7/3/2017 4:00,0,92.5,76.7,0,115,9,3,74.3
7/3/2017 4:15,0,92.9,76.4,0,118,9,3,74.2
7/3/2017 4:30,0,93.4,76.5,0,114,7,2,74.4
7/3/2017 4:45,0,94.1,76.4,0,125,6,1,74.5
7/3/2017 5:00,0,94.3,76.4,0,122,13,2,74.6
7/3/2017 5:15,0,94.2,76.1,0,112,14,3,74.3
7/3/2017 5:30,0,93.7,76.2,0,124,8,2,74.2
7/3/2017 5:45,0,92.8,76.4,0,96,11,2,74.1
7/3/2017 6:00,0,92.8,76.4,0,132,7,1,74.1
7/3/2017 6:15,0,93.5,76.3,0,148,11,1,74.3
7/3/2017 6:30,0,94.5,76.3,0,127,8,1,74.6
7/3/2017 6:45,0,94.8,76.4,0,135,9,2,74.8
7/3/2017 7:00,2,95.2,76.3,0,121,12,3,74.8
7/3/2017 7:15,9,95.6,76.4,0,120,12,2,75
7/3/2017 7:30,14,95.9,76.8,0,110,9,2,75.5
7/3/2017 7:45,12,95.9,77.1,0,104,7,2,75.8
7/3/2017 8:00,30,95.2,77.1,0,93,10,3,75.6
7/3/2017 8:15,53,94.3,77.4,0,105,7,2,75.6
7/3/2017 8:30,81,91.6,77.8,0,83,11,4,75.1
7/3/2017 8:45,102,88.4,78.1,0,90,15,5,74.4
7/3/2017 9:00,72,88,78.1,0,97,15,3,74.3
7/3/2017 9:15,115,87.4,78.3,0,86,14,2,74.3
7/3/2017 9:30,180,85.9,79,0,88,14,3,74.5
7/3/2017 9:45,219,82.1,79.7,0,91,14,6,73.8
7/3/2017 10:00,253,81.8,79.7,0,94,16,4,73.7
7/3/2017 10:15,167,84.1,79.2,0,100,14,5,74
7/3/2017 10:30,104,86.6,78.1,0,83,9,1,73.8
7/3/2017 10:45,223,87.7,78,0,91,8,2,74.1
7/3/2017 11:00,317,87.6,78.5,0,91,8,3,74.5
7/3/2017 11:15,609,84.5,79.6,0,105,11,3,74.6
7/3/2017 11:30,795,79.6,80.3,0,93,12,2,73.5
7/3/2017 11:45,347,79.9,79.9,0,73,8,3,73.3
7/3/2017 12:00,325,81.6,78.8,0,84,8,2,72.8
7/3/2017 12:15,355,82.4,78.5,0,83,8,2,72.8
7/3/2017 12:30,398,82.8,78.6,0,73,9,1,73
7/3/2017 12:45,506,81.3,79,0,77,14,4,72.9
7/3/2017 13:00,505,80.1,79.2,0,91,12,3,72.6
7/3/2017 13:15,498,80.4,79.3,0,111,10,2,72.8
7/3/2017 13:30,627,78.1,79.8,0,93,13,3,72.5
7/3/2017 13:45,435,80,79.7,0,105,11,2,73.1
7/3/2017 14:00,282,79.9,79.1,0,69,11,2,72.5
7/3/2017 14:15,434,79.9,78.8,0,91,14,4,72.2
7/3/2017 14:30,433,79.1,79.2,0,93,11,3,72.3
7/3/2017 14:45,210,80.9,78.5,0,84,10,2,72.2
7/3/2017 15:00,246,80.7,78.2,0,88,19,5,71.9
7/3/2017 15:15,187,82.4,78.1,0,100,9,3,72.4
7/3/2017 15:30,301,82.2,78.1,0,94,14,4,72.3
7/3/2017 15:45,236,82.5,78.4,0,96,15,4,72.7
7/3/2017 16:00,265,84.5,77.8,0,81,10,5,72.8
7/3/2017 16:15,209,84.2,78,0,96,8,1,72.9
7/3/2017 16:30,174,82.6,78.1,0,88,11,3,72.4
7/3/2017 16:45,135,82.4,78.1,0,96,11,4,72.4
7/3/2017 17:00,110,81.8,78.1,0,90,12,5,72.2
7/3/2017 17:15,82,82.6,77.8,0,90,10,3,72.2
7/3/2017 17:30,72,82.3,77.5,0,83,10,3,71.8
7/3/2017 17:45,62,83.2,77.5,0,86,8,2,72.1
7/3/2017 18:00,56,81.6,77.5,0,86,11,3,71.5
7/3/2017 18:15,48,82.2,77.7,0,73,9,1,71.9
7/3/2017 18:30,40,82.9,77.6,0,87,10,2,72.1
7/3/2017 18:45,39,83.3,77.7,0,72,9,2,72.3
7/3/2017 19:00,41,83.4,77.7,0,83,8,2,72.3
7/3/2017 19:15,41,83.5,77.8,0,100,10,2,72.5
7/3/2017 19:30,40,84.3,77.7,0,90,6,1,72.6
7/3/2017 19:45,39,83.8,77.8,0,94,13,3,72.6
7/3/2017 20:00,32,83.8,78,0,101,10,2,72.8
7/3/2017 20:15,31,83.6,77.7,0,98,8,2,72.4
7/3/2017 20:30,29,83.7,77.8,0,90,9,2,72.5
7/3/2017 20:45,27,84.3,77.8,0,97,13,2,72.7
7/3/2017 21:00,24,84.4,77.8,0,96,6,1,72.8
7/3/2017 21:15,23,83.6,77.9,0,90,7,1,72.6
7/3/2017 21:30,22,83.5,78.1,0,79,9,2,72.8
7/3/2017 21:45,21,83.6,78.1,0,73,8,2,72.8
7/3/2017 22:00,21,84.1,78.2,0,86,7,2,73.1
7/3/2017 22:15,20,84.3,78.3,0,81,7,2,73.2
7/3/2017 22:30,19,83.3,78.5,0,88,10,4,73.1
7/3/2017 22:45,19,83.4,78.5,0,90,9,3,73.1
7/3/2017 23:00,15,84.5,78.2,0,94,7,1,73.2
7/3/2017 23:15,13,84.3,78.3,0,80,9,2,73.2
7/3/2017 23:30,13,84.3,78.3,0,73,10,2,73.2
7/3/2017 23:45,11,84.1,78.4,0,77,10,3,73.3
7/4/2017 0:00,8,84.5,78.3,0,86,15,3,73.3
7/4/2017 0:15,6,84.9,78.2,0,87,9,2,73.3
7/4/2017 0:30,4,84.3,78.4,0,83,10,3,73.3
7/4/2017 0:45,4,86.8,77.8,0,96,9,2,73.6
7/4/2017 1:00,3,86.8,77.7,0,70,9,2,73.5
7/4/2017 1:15,3,86.7,77.7,0,86,7,2,73.4
7/4/2017 1:30,3,86,77.9,0,79,10,2,73.4
7/4/2017 1:45,2,86.1,77.8,0,83,7,1,73.3
7/4/2017 2:00,2,85.1,78.1,0,64,7,2,73.3
7/4/2017 2:15,2,85.2,78.3,0,86,10,4,73.5
7/4/2017 2:30,2,85.8,78.2,0,100,11,2,73.6
7/4/2017 2:45,2,85.5,78.3,0,69,8,2,73.6
7/4/2017 3:00,2,85.3,78.4,0,77,7,1,73.7
7/4/2017 3:15,2,86.1,78,0,100,10,1,73.5
7/4/2017 3:30,2,86.5,78,0,124,7,1,73.7
7/4/2017 3:45,2,86.7,77.9,0,104,7,1,73.6
7/4/2017 4:00,2,86.6,78.1,0,101,8,1,73.8
7/4/2017 4:15,2,86.8,78.1,0,56,6,1,73.9
7/4/2017 4:30,2,86.6,78.3,0,79,10,1,74
7/4/2017 4:45,2,85.8,78.4,0,124,8,1,73.8
7/4/2017 5:00,2,86.1,78.3,0,55,3,0,73.8
7/4/2017 5:15,2,86.1,78.3,0,112,5,0,73.8
7/4/2017 5:30,2,86.1,78.5,0,84,11,2,74
7/4/2017 5:45,2,86.3,78.5,0,91,9,1,74.1
7/4/2017 6:00,2,85.2,78.7,0,94,11,4,73.9
7/4/2017 6:15,2,83.2,78.9,0,100,12,4,73.4
7/4/2017 6:30,1,83.1,78.8,0,86,12,4,73.3
7/4/2017 6:45,2,83.9,78.5,0,86,6,1,73.3
7/4/2017 7:00,7,84.9,78.3,0,80,5,1,73.4
7/4/2017 7:15,19,85.5,78.1,0,50,5,0,73.4
7/4/2017 7:30,32,85.8,78.2,0,63,6,0,73.6
7/4/2017 7:45,57,85.6,78.5,0,45,5,0,73.9
7/4/2017 8:00,97,85.1,78.8,0,28,4,0,74
7/4/2017 8:15,109,85.3,78.9,0,79,5,0,74.2
7/4/2017 8:30,141,84.4,79.2,0,74,6,0,74.1
7/4/2017 8:45,130,84,79.5,0,63,3,0,74.3
7/4/2017 9:00,122,84.6,79.5,0,72,6,0,74.5
7/4/2017 9:15,131,85.2,79.5,0,80,4,0,74.7
7/4/2017 9:30,139,85.5,79.5,0,101,4,0,74.8
7/4/2017 9:45,122,84.8,79.7,0,84,2,0,74.8
7/4/2017 10:00,105,84.4,80,0,125,3,0,74.9
7/4/2017 10:15,173,84.5,80.1,0,45,2,0,75.1
7/4/2017 10:30,230,83.5,80.5,0,57,7,0,75.1
7/4/2017 10:45,459,85.2,80.5,0,77,3,0,75.7
7/4/2017 11:00,604,83.2,81.2,0,67,5,0,75.7
7/4/2017 11:15,647,81.3,82.1,0,73,5,1,75.9
7/4/2017 11:30,507,81.6,82.2,0,114,7,0,76.1
7/4/2017 11:45,589,80.7,81.9,0,79,6,0,75.5
7/4/2017 12:00,614,80.3,81.7,0,110,7,1,75.2
7/4/2017 12:15,500,80.7,81.9,0,144,7,1,75.5
7/4/2017 12:30,423,81.6,81.2,0,129,6,1,75.1
7/4/2017 12:45,396,81.8,80.9,0,139,4,0,74.9
7/4/2017 13:00,584,79.3,81.7,0,149,4,0,74.8
7/4/2017 13:15,639,78.7,82.4,0,192,4,0,75.3
7/4/2017 13:30,574,79,82.4,0,158,5,1,75.4
7/4/2017 13:45,608,78.6,82.1,0,127,8,1,74.9
7/4/2017 14:00,704,77.1,82.5,0,145,5,0,74.8
7/4/2017 14:15,515,78.1,82.4,0,135,6,1,75
7/4/2017 14:30,306,80.6,81.3,0,122,5,0,74.9
7/4/2017 14:45,358,80.6,81,0,120,5,0,74.6
7/4/2017 15:00,318,80.6,81.5,0,135,3,0,75.1
7/4/2017 15:15,401,79.5,81.5,0,122,4,0,74.7
7/4/2017 15:30,547,75.8,82.2,0,87,4,0,74
7/4/2017 15:45,396,78.2,82,0,90,6,1,74.7
7/4/2017 16:00,205,80.2,80.9,0,122,3,0,74.3
7/4/2017 16:15,212,82.1,80.3,0,74,5,0,74.4
7/4/2017 16:30,152,81.8,79.9,0,74,4,0,73.9
7/4/2017 16:45,130,82.5,79.5,0,56,3,0,73.8
7/4/2017 17:00,127,82.1,79.5,0,60,2,0,73.6
7/4/2017 17:15,83,82.6,79.4,0,43,0,0,73.7
7/4/2017 17:30,55,83.5,79.2,0,36,0,0,73.8
7/4/2017 17:45,32,84.5,78.8,0,36,0,0,73.8
7/4/2017 18:00,12,84.7,78.4,0,36,0,0,73.5
7/4/2017 18:15,1,85.4,77.9,0,33,2,0,73.2
7/4/2017 18:30,1,85.7,77.8,0,24,0,0,73.2
7/4/2017 18:45,1,85.9,78,0,29,0,0,73.5
7/4/2017 19:00,1,85.7,77.7,0,234,5,0,73.1
7/4/2017 19:15,1,86.9,77.6,0,28,1,0,73.4
7/4/2017 19:30,1,87.5,77.6,0,25,0,0,73.6
7/4/2017 19:45,1,88.1,77.6,0,25,0,0,73.8
7/4/2017 20:00,1,88.1,77.8,0,21,0,0,74
7/4/2017 20:15,1,88,77.8,0,18,0,0,74
7/4/2017 20:30,1,87.9,78.1,0,340,0,0,74.2
7/4/2017 20:45,1,87.4,78.3,0,341,0,0,74.3
7/4/2017 21:00,1,87.3,78.5,0,341,0,0,74.4
7/4/2017 21:15,1,88.5,77.9,0,348,0,0,74.2
7/4/2017 21:30,1,88.4,77.9,0,348,0,0,74.2
7/4/2017 21:45,1,87.9,78.3,0,348,0,0,74.4
7/4/2017 22:00,1,87.8,78.4,0,348,0,0,74.5
7/4/2017 22:15,1,87.4,78.4,0,348,0,0,74.4
7/4/2017 22:30,1,87.3,78.5,0,348,0,0,74.4
7/4/2017 22:45,1,88.1,78.1,0,348,0,0,74.3
7/4/2017 23:00,1,89,78,0,231,0,0,74.5
7/4/2017 23:15,1,88.2,78.1,0,40,0,0,74.3
7/4/2017 23:30,1,87.9,78.3,0,40,0,0,74.4
7/4/2017 23:45,1,87.9,78.2,0,40,0,0,74.3
7/5/2017 0:00,1,87.7,78.3,0,40,0,0,74.4
7/5/2017 0:15,1,87.5,78.3,0,40,0,0,74.3
7/5/2017 0:30,1,87.3,78.2,0,40,0,0,74.1
7/5/2017 0:45,1,87.3,78.4,0,40,0,0,74.3
7/5/2017 1:00,1,87.7,78.3,0,40,0,0,74.4
7/5/2017 1:15,1,87.6,78.4,0,40,0,0,74.4
7/5/2017 1:30,1,88.8,77.9,0,33,0,0,74.3
7/5/2017 1:45,1,89.3,77.9,0,345,1,0,74.5
7/5/2017 2:00,1,89,78.1,0,345,0,0,74.6
7/5/2017 2:15,1,88.8,78.1,0,345,0,0,74.5
7/5/2017 2:30,1,89.7,78,0,338,0,0,74.7
7/5/2017 2:45,1,90.2,78,0,225,0,0,74.9
7/5/2017 3:00,1,90.2,78.1,0,28,2,0,75
7/5/2017 3:15,1,88.9,78.3,0,53,3,0,74.8
7/5/2017 3:30,1,88.4,78.2,0,45,2,0,74.5
7/5/2017 3:45,1,88.4,78.3,0,40,2,0,74.6
7/5/2017 4:00,1,88.1,78.3,0,38,2,0,74.5
7/5/2017 4:15,1,88.2,78.3,0,29,2,0,74.5
7/5/2017 4:30,1,88.3,78.3,0,26,0,0,74.6
7/5/2017 4:45,1,88.2,78.3,0,39,0,0,74.5
7/5/2017 5:00,1,87.9,78.6,0,104,2,0,74.7
7/5/2017 5:15,1,88.2,78.5,0,206,1,0,74.7
7/5/2017 5:30,1,88.1,78.5,0,214,0,0,74.7
7/5/2017 5:45,1,88.2,78.6,0,168,0,0,74.8
7/5/2017 6:00,1,87.9,78.6,0,45,0,0,74.7
7/5/2017 6:15,1,87.7,78.6,0,42,0,0,74.7
7/5/2017 6:30,1,87.4,78.7,0,49,0,0,74.7
7/5/2017 6:45,2,87.5,78.7,0,67,0,0,74.7
7/5/2017 7:00,10,88,78.7,0,60,0,0,74.9
7/5/2017 7:15,19,88.1,78.5,0,53,1,0,74.7
7/5/2017 7:30,100,88.4,78.8,0,53,0,0,75.1
7/5/2017 7:45,125,87.6,79.7,0,62,0,0,75.7
7/5/2017 8:00,154,84.2,81,0,76,4,0,75.8
7/5/2017 8:15,240,82.2,81.6,0,55,3,0,75.7
7/5/2017 8:30,186,81.1,81.9,0,80,1,0,75.6
7/5/2017 8:45,79,82,81.4,0,45,1,0,75.5
7/5/2017 9:00,231,83.4,80.8,0,46,0,0,75.4
7/5/2017 9:15,351,83.7,80.9,0,146,2,0,75.6
7/5/2017 9:30,649,78.7,82,0,60,7,1,74.9
